hotel_id,name,city,state,star_rating,price_per_night_inr,property_type,vegetarian_restaurant,wifi_available,parking_available,ac_available,latitude,longitude,gym_available,pool_available,spa_available,business_center,room_service,metro_distance_km,railway_distance_km,airport_distance_km,chain_name
62,Treebo Bangalore,Bangalore,Karnataka,3.7,19972,Business Hotel,False,False,False,True,21.598711,86.310168,True,False,True,False,False,1.3,16.8,8.5,
63,Lemon Tree Delhi,Delhi,Delhi,4.0,14098,Boutique Hotel,True,False,True,False,22.539652,95.773948,True,True,True,True,False,,11.0,32.4,Marriott
64,Radisson Hyderabad,Hyderabad,Telangana,4.8,14194,Boutique Hotel,False,True,False,True,24.180933,79.210362,False,True,True,False,False,,14.3,22.6,ITC
65,OYO Lucknow Premium,Lucknow,Uttar Pradesh,4.8,11644,Business Hotel,False,False,True,True,20.278785,78.493015,True,False,False,True,True,,3.9,18.3,ITC
66,Hilton Delhi,Delhi,Delhi,4.4,18753,Hotel,False,True,False,True,32.109007,90.361837,True,False,True,False,False,,5.5,25.0,
67,OYO Kolkata Premium,Kolkata,West Bengal,4.5,9167,Business Hotel,True,False,False,True,35.466775,96.548754,False,False,True,True,True,,2.0,26.6,Radisson
68,Hilton Hyderabad,Hyderabad,Telangana,4.8,18405,Hotel,False,True,True,False,22.887229,92.100355,False,False,True,False,True,5.9,8.3,8.7,Leela
69,Chennai Grand Hotel,Chennai,Tamil Nadu,3.3,4746,Heritage Property,False,True,True,True,32.063086,88.186088,False,True,True,True,False,2.7,18.9,32.4,Hilton
70,Taj Pune,Pune,Maharashtra,4.4,9286,Guesthouse,True,True,True,False,26.061506,69.821407,False,True,True,True,False,9.4,5.6,23.7,
71,Hilton Delhi,Delhi,Delhi,4.9,3717,Business Hotel,True,False,False,True,36.450143,75.355858,False,True,True,False,True,8.4,16.5,12.9,Oberoi
72,OYO Ahmedabad Premium,Ahmedabad,Gujarat,3.7,7472,Resort,True,False,True,False,30.942167,93.687921,False,False,False,True,True,13.0,1.9,34.5,Radisson
73,Taj Kolkata,Kolkata,West Bengal,4.5,15818,Boutique Hotel,False,False,False,True,22.428178,94.805004,True,False,True,False,True,5.2,2.5,34.7,
74,Marriott Kolkata,Kolkata,West Bengal,4.0,15462,Resort,False,False,False,True,,,False,False,True,True,False,12.1,13.9,47.9,
75,Lemon Tree Bangalore,Bangalore,Karnataka,4.2,15858,Hotel,True,True,True,False,35.534546,68.939174,False,False,False,True,True,6.3,13.3,16.2,Hilton
76,Delhi Grand Hotel,Delhi,Delhi,4.3,17852,Business Hotel,False,True,False,False,,,False,True,True,True,True,13.5,9.5,9.0,Radisson
77,Treebo Hyderabad,Hyderabad,Telangana,3.4,3627,Business Hotel,False,False,True,True,,,True,True,True,True,False,8.5,8.0,41.2,
78,Leela Palace Jaipur,Jaipur,Rajasthan,4.0,4325,Hotel,False,False,False,False,,,True,True,False,True,False,8.0,3.4,42.3,
79,Treebo Jaipur,Jaipur,Rajasthan,4.0,5728,Boutique Hotel,True,True,True,False,17.357162,88.570632,True,False,True,False,True,,12.7,9.2,Radisson
80,Lemon Tree Bangalore,Bangalore,Karnataka,4.9,6552,Resort,False,True,True,True,26.602158,84.726366,False,True,False,False,False,12.2,14.0,18.4,
81,OYO Delhi Premium,Delhi,Delhi,2.6,15904,Boutique Hotel,False,False,True,False,17.064892,88.832524,False,False,True,False,True,7.3,6.1,16.2,
82,Delhi Grand Hotel,Delhi,Delhi,3.2,14087,Business Hotel,False,True,True,False,,,True,True,False,False,False,,10.5,9.1,
83,Hilton Pune,Pune,Maharashtra,3.6,9388,Resort,False,True,True,False,33.587845,86.973541,True,False,True,False,False,,8.0,23.0,Taj
84,Hilton Lucknow,Lucknow,Uttar Pradesh,3.0,19628,Guesthouse,True,False,False,False,,,True,True,True,False,False,,7.4,47.3,
85,ITC Bangalore,Bangalore,Karnataka,4.0,14652,Business Hotel,True,True,True,True,,,False,True,True,False,False,14.9,15.0,18.5,
86,Hilton Hyderabad,Hyderabad,Telangana,4.6,18943,Boutique Hotel,False,False,True,False,11.178533,80.079668,False,False,True,True,False,9.6,12.8,42.9,Taj
87,Treebo Bangalore,Bangalore,Karnataka,3.1,5101,Resort,True,False,False,False,28.024508,79.900945,False,True,True,True,False,,10.1,22.0,
88,Marriott Bangalore,Bangalore,Karnataka,4.8,12717,Business Hotel,False,False,False,True,,,True,False,False,True,False,5.6,18.7,40.8,Radisson
89,Oberoi Kolkata,Kolkata,West Bengal,2.8,19299,Boutique Hotel,False,False,True,False,35.704098,70.291854,False,False,True,True,False,,14.2,11.2,
90,OYO Lucknow Premium,Lucknow,Uttar Pradesh,4.0,9444,Hotel,True,True,True,True,28.803384,70.915802,True,True,False,False,False,,15.4,17.9,
91,Treebo Kolkata,Kolkata,West Bengal,2.6,4431,Heritage Property,True,True,True,False,,,False,False,True,False,True,8.7,3.0,49.2,Taj
92,Marriott Kolkata,Kolkata,West Bengal,5.0,19302,Business Hotel,False,True,False,False,11.266756,72.712334,True,True,False,False,True,12.9,18.0,42.2,Radisson
93,Radisson Jaipur,Jaipur,Rajasthan,2.7,4625,Resort,True,False,False,True,19.123657,80.95533,False,True,False,False,True,2.2,6.8,23.2,Marriott
94,OYO Jaipur Premium,Jaipur,Rajasthan,4.4,5347,Heritage Property,False,False,True,True,,,False,False,False,True,True,,12.3,40.4,Hilton
95,Marriott Jaipur,Jaipur,Rajasthan,3.8,13354,Hotel,True,True,True,True,32.780094,80.813376,False,True,False,True,False,6.5,11.7,30.1,
96,OYO Kolkata Premium,Kolkata,West Bengal,2.6,9838,Hotel,True,True,True,False,9.849037,96.829586,True,False,True,False,False,2.5,13.2,37.8,
97,Radisson Pune,Pune,Maharashtra,5.0,14033,Boutique Hotel,False,False,True,True,18.085327,73.175735,True,True,True,True,False,10.9,9.1,22.1,
98,ITC Chennai,Chennai,Tamil Nadu,3.7,6583,Guesthouse,True,True,True,False,35.1509,93.782199,True,True,False,True,True,,8.6,15.5,Oberoi
99,Chennai Grand Hotel,Chennai,Tamil Nadu,2.9,10978,Resort,False,False,True,False,,,True,False,False,False,True,9.1,15.0,12.9,
100,Hilton Pune,Pune,Maharashtra,3.7,12785,Heritage Property,False,False,False,False,18.917345,89.878067,False,True,False,True,False,,11.6,11.0,Leela
101,Oberoi Chennai,Chennai,Tamil Nadu,3.0,4090,Boutique Hotel,False,True,True,True,27.536486,85.484739,True,True,False,True,False,13.7,5.0,13.6,
102,OYO Delhi Premium,Delhi,Delhi,5.0,17193,Resort,True,False,True,False,,,False,False,False,False,False,14.7,9.9,42.8,Marriott
103,Radisson Chennai,Chennai,Tamil Nadu,3.3,2998,Business Hotel,True,True,True,False,24.936925,88.880346,False,True,False,True,False,14.2,7.4,39.4,Leela
104,OYO Ahmedabad Premium,Ahmedabad,Gujarat,4.1,17575,Boutique Hotel,True,False,True,True,,,True,True,True,True,False,9.6,2.3,11.8,Taj
105,Hilton Chennai,Chennai,Tamil Nadu,3.6,3480,Business Hotel,False,False,True,True,19.928817,68.485058,False,True,False,True,True,,11.0,15.8,
106,Hilton Lucknow,Lucknow,Uttar Pradesh,3.1,13114,Guesthouse,False,True,False,False,15.053029,88.219853,True,True,False,False,False,1.3,1.2,12.7,Oberoi
107,Hyatt Ahmedabad,Ahmedabad,Gujarat,4.1,12355,Business Hotel,True,True,True,True,,,False,False,True,True,False,,11.7,6.5,
108,Hyderabad Grand Hotel,Hyderabad,Telangana,4.9,6224,Heritage Property,False,True,False,True,24.434182,92.63383,False,False,True,True,False,6.8,16.9,20.3,
109,Lemon Tree Lucknow,Lucknow,Uttar Pradesh,3.5,12194,Hotel,False,False,False,True,35.293143,80.52359,False,True,False,True,True,2.7,14.5,33.5,
110,Radisson Pune,Pune,Maharashtra,3.4,4498,Hotel,False,False,False,False,10.53162,80.498406,False,True,True,True,False,9.2,15.9,43.9,
111,Oberoi Mumbai,Mumbai,Maharashtra,3.5,4275,Heritage Property,True,True,False,True,16.732807,82.300594,False,False,False,False,True,14.2,14.7,27.3,Hyatt
112,ITC Lucknow,Lucknow,Uttar Pradesh,3.6,5939,Guesthouse,True,False,False,False,,,False,True,False,False,True,3.1,8.6,19.4,Marriott
113,Lemon Tree Ahmedabad,Ahmedabad,Gujarat,4.5,12178,Boutique Hotel,False,False,False,True,,,True,False,True,False,False,,2.3,43.2,ITC
114,Treebo Pune,Pune,Maharashtra,3.7,11423,Resort,False,True,False,False,36.730318,81.897806,True,False,True,True,True,,7.7,34.1,Hyatt
115,Lemon Tree Mumbai,Mumbai,Maharashtra,5.0,14594,Guesthouse,False,True,True,True,22.809611,83.045135,True,False,False,False,False,,12.2,27.5,
116,Hyderabad Grand Hotel,Hyderabad,Telangana,3.7,11180,Boutique Hotel,True,True,True,False,21.204646,73.999152,True,False,False,False,True,12.2,3.2,43.2,Hilton
117,Treebo Delhi,Delhi,Delhi,4.5,9492,Business Hotel,True,True,False,False,,,True,True,False,False,True,,17.8,25.2,Hyatt
118,Hyatt Pune,Pune,Maharashtra,2.5,8538,Resort,False,True,True,True,13.715154,71.304694,False,False,False,False,True,12.8,12.7,41.6,
119,Lemon Tree Kolkata,Kolkata,West Bengal,4.0,5889,Guesthouse,True,True,False,True,28.10966,82.813921,False,False,True,False,True,7.6,3.7,19.2,ITC
120,Lemon Tree Ahmedabad,Ahmedabad,Gujarat,2.6,13264,Hotel,False,True,True,False,,,False,False,False,False,False,1.7,1.6,39.2,
121,Kolkata Grand Hotel,Kolkata,West Bengal,3.2,19116,Guesthouse,True,False,False,True,15.768778,83.750079,True,False,True,False,True,,13.4,16.1,
122,Marriott Mumbai,Mumbai,Maharashtra,3.2,4350,Boutique Hotel,True,True,True,False,,,False,True,True,True,True,,11.8,29.0,
123,Hilton Lucknow,Lucknow,Uttar Pradesh,2.9,11089,Guesthouse,False,True,True,False,,,True,True,True,True,False,,15.5,35.4,
124,Leela Palace Ahmedabad,Ahmedabad,Gujarat,3.9,10305,Heritage Property,False,False,False,True,33.523627,70.699749,False,False,False,False,False,13.1,17.1,9.2,
125,Treebo Ahmedabad,Ahmedabad,Gujarat,4.2,13238,Hotel,False,True,False,True,17.363089,76.224199,True,False,False,True,True,11.9,9.7,10.6,
126,Marriott Bangalore,Bangalore,Karnataka,3.6,15518,Resort,True,False,True,False,18.452626,70.390195,True,True,False,False,True,1.8,2.8,14.6,
127,Leela Palace Delhi,Delhi,Delhi,4.0,18521,Heritage Property,False,True,True,False,,,False,True,False,True,True,11.1,2.9,19.1,
128,Leela Palace Kolkata,Kolkata,West Bengal,3.5,5862,Heritage Property,True,True,True,True,28.950529,86.214321,False,True,True,True,True,,12.2,22.3,Hyatt
129,Radisson Pune,Pune,Maharashtra,4.5,9619,Guesthouse,True,True,False,True,,,False,True,True,False,False,,15.9,40.7,
130,Marriott Chennai,Chennai,Tamil Nadu,3.5,9399,Boutique Hotel,True,True,False,False,32.963606,84.483031,False,True,True,True,True,1.1,2.1,40.5,ITC
131,Oberoi Jaipur,Jaipur,Rajasthan,4.1,17918,Boutique Hotel,False,False,True,True,16.9873,82.827836,False,False,True,False,False,,17.1,7.6,ITC
132,Hyatt Delhi,Delhi,Delhi,2.8,3303,Guesthouse,True,True,True,True,,,False,True,False,True,False,,3.2,45.5,Marriott
133,Hyatt Hyderabad,Hyderabad,Telangana,3.2,3592,Guesthouse,True,False,False,False,32.921434,72.83956,True,True,True,True,True,7.3,8.3,11.8,Oberoi
134,Hilton Mumbai,Mumbai,Maharashtra,4.5,15241,Resort,False,True,False,False,10.258725,78.811437,True,True,True,True,False,7.2,6.4,43.0,
135,Taj Hyderabad,Hyderabad,Telangana,3.9,1761,Guesthouse,True,False,False,True,25.159037,82.30746,True,True,True,True,False,8.4,13.1,36.2,
136,Radisson Mumbai,Mumbai,Maharashtra,2.5,13829,Heritage Property,False,True,True,True,35.874367,96.204218,True,True,True,False,False,11.3,12.0,27.7,Radisson
137,Taj Pune,Pune,Maharashtra,4.0,3540,Boutique Hotel,True,True,False,False,,,False,False,False,False,False,14.2,3.6,39.7,
138,Leela Palace Delhi,Delhi,Delhi,2.8,16231,Boutique Hotel,False,False,True,False,,,False,False,True,True,True,,6.8,36.7,Radisson
139,Lucknow Grand Hotel,Lucknow,Uttar Pradesh,3.0,12241,Resort,True,True,False,False,27.638318,75.544837,True,False,False,True,True,12.2,3.7,5.5,
140,Leela Palace Chennai,Chennai,Tamil Nadu,3.0,14626,Guesthouse,True,False,True,True,,,True,True,False,True,True,,2.0,46.6,Hilton
141,OYO Pune Premium,Pune,Maharashtra,3.5,2466,Boutique Hotel,False,True,False,True,,,True,True,True,False,False,8.5,2.2,17.6,Hilton
142,Hyatt Bangalore,Bangalore,Karnataka,3.0,18729,Resort,True,False,False,False,22.055705,94.467633,False,False,True,True,False,0.9,16.4,17.6,
143,Hilton Ahmedabad,Ahmedabad,Gujarat,3.4,9127,Resort,True,True,True,False,30.945879,89.374744,True,False,False,True,True,5.1,15.0,21.1,
144,Lucknow Grand Hotel,Lucknow,Uttar Pradesh,4.3,13023,Business Hotel,True,True,False,False,9.100948,69.628871,True,False,True,False,True,,7.5,13.0,
145,Hyderabad Grand Hotel,Hyderabad,Telangana,2.6,6141,Hotel,False,True,False,False,17.760271,77.355493,False,False,False,True,False,9.0,4.3,18.8,
146,Leela Palace Kolkata,Kolkata,West Bengal,2.9,1558,Heritage Property,False,True,True,False,,,True,True,False,True,False,,5.5,49.2,
147,Treebo Bangalore,Bangalore,Karnataka,4.7,4407,Heritage Property,False,False,True,False,28.102106,78.163954,True,True,False,False,False,,17.8,27.2,
148,Radisson Pune,Pune,Maharashtra,3.9,4823,Boutique Hotel,True,True,False,True,,,False,False,True,True,False,5.9,14.9,29.6,Taj
149,Radisson Delhi,Delhi,Delhi,4.0,17318,Heritage Property,True,False,True,False,10.936477,73.960964,False,False,True,True,True,8.5,10.3,7.5,Radisson
150,Hyatt Mumbai,Mumbai,Maharashtra,2.7,17239,Resort,True,True,True,True,36.334673,81.733549,False,False,False,True,False,13.3,8.0,25.1,Hyatt
151,Marriott Kolkata,Kolkata,West Bengal,3.7,8913,Guesthouse,True,True,True,True,31.437225,80.005613,True,True,False,False,False,3.9,6.7,22.8,
152,Hilton Mumbai,Mumbai,Maharashtra,3.9,18435,Business Hotel,True,True,False,True,,,True,True,True,False,True,,9.3,49.9,Leela
153,Lemon Tree Bangalore,Bangalore,Karnataka,3.1,3695,Hotel,False,False,False,False,34.597695,68.35855,False,True,False,True,True,8.9,19.3,9.5,
154,Lemon Tree Delhi,Delhi,Delhi,4.4,10874,Business Hotel,False,False,False,False,24.588674,81.718352,True,False,True,False,False,,1.9,26.4,Hyatt
155,Radisson Kolkata,Kolkata,West Bengal,2.6,11430,Guesthouse,False,False,True,True,36.252363,80.850208,False,False,True,True,False,12.4,15.1,39.2,
156,Hyderabad Grand Hotel,Hyderabad,Telangana,3.8,6709,Hotel,False,False,True,True,33.380236,73.821077,False,True,False,True,False,7.2,8.5,46.5,Taj
157,ITC Mumbai,Mumbai,Maharashtra,3.4,16117,Resort,False,False,False,True,,,False,True,False,True,True,,15.8,14.6,Oberoi
158,Treebo Chennai,Chennai,Tamil Nadu,3.1,8274,Guesthouse,False,True,True,False,,,True,True,False,False,False,6.0,7.6,16.3,
159,Oberoi Ahmedabad,Ahmedabad,Gujarat,4.2,14513,Business Hotel,True,True,False,False,11.135031,69.851275,False,False,False,False,True,11.6,18.1,41.2,
160,Hyatt Lucknow,Lucknow,Uttar Pradesh,4.2,6085,Heritage Property,True,False,False,False,,,True,False,True,False,False,12.8,17.0,44.4,Taj
161,Oberoi Bangalore,Bangalore,Karnataka,2.7,5692,Heritage Property,False,True,False,True,14.47651,93.271535,False,False,False,False,True,13.1,12.1,47.5,Marriott
162,Marriott Delhi,Delhi,Delhi,4.7,17899,Hotel,False,False,False,True,,,False,False,False,True,False,,4.4,8.6,Leela
163,Treebo Hyderabad,Hyderabad,Telangana,5.0,11769,Heritage Property,True,True,False,False,30.432726,84.712089,True,False,False,False,False,,8.3,6.7,Oberoi
164,OYO Chennai Premium,Chennai,Tamil Nadu,3.4,1961,Guesthouse,True,True,True,True,33.432569,77.050676,True,True,True,False,False,8.0,11.0,24.5,Radisson
165,Radisson Bangalore,Bangalore,Karnataka,5.0,17562,Guesthouse,True,True,False,True,29.087896,71.804968,True,True,False,True,False,,5.9,29.1,
166,Lemon Tree Mumbai,Mumbai,Maharashtra,5.0,5042,Heritage Property,True,True,True,False,11.584257,75.32941,True,True,False,False,True,,6.1,32.3,
167,Hyatt Bangalore,Bangalore,Karnataka,4.6,4937,Business Hotel,True,False,True,True,25.661052,90.560809,True,False,False,False,True,7.7,4.9,47.0,
168,ITC Hyderabad,Hyderabad,Telangana,2.5,4416,Hotel,False,True,True,True,,,True,False,False,False,False,12.3,17.6,43.4,Radisson
169,Treebo Hyderabad,Hyderabad,Telangana,3.3,5297,Hotel,True,True,True,True,33.941301,95.697586,False,False,True,True,False,7.1,16.9,36.0,Oberoi
170,Hyatt Ahmedabad,Ahmedabad,Gujarat,4.1,6965,Hotel,True,True,True,True,25.131759,91.265679,True,False,False,True,True,7.6,17.9,24.8,
171,Oberoi Delhi,Delhi,Delhi,4.1,1905,Heritage Property,True,False,True,False,15.208733,78.026735,False,True,True,True,True,7.3,10.4,12.4,
172,Radisson Ahmedabad,Ahmedabad,Gujarat,3.1,10614,Hotel,True,False,False,True,20.881477,84.618013,False,False,True,False,True,6.5,11.6,5.0,Hilton
173,Lemon Tree Delhi,Delhi,Delhi,4.9,11481,Business Hotel,True,False,False,False,,,False,False,False,False,False,11.5,5.2,20.4,
174,Hilton Kolkata,Kolkata,West Bengal,3.8,4983,Hotel,True,False,True,False,25.714701,73.438759,False,True,False,True,False,6.5,18.6,42.7,
175,Taj Lucknow,Lucknow,Uttar Pradesh,4.4,16262,Boutique Hotel,True,False,True,True,20.551501,84.968501,True,True,True,True,False,,12.5,19.5,
176,Hyatt Pune,Pune,Maharashtra,4.9,9634,Guesthouse,False,False,False,False,,,False,True,True,True,False,,18.5,11.0,Radisson
177,Hilton Bangalore,Bangalore,Karnataka,3.9,12063,Heritage Property,True,False,False,False,33.922114,83.483181,False,True,True,True,False,10.2,4.8,38.8,
