interaction_id,user_id,hotel_id,interaction_type,interaction_date,rating,total_amount_inr,stay_duration,travel_purpose,advance_booking_days,cancellation_flag
47,12,395,Booked,2023-09-22,4.3,11236,1.0,Leisure,6.0,False
48,12,373,Booked,2023-03-02,3.8,14584,7.0,Leisure,36.0,False
49,12,296,Booked,2023-10-11,4.8,17547,2.0,Business,22.0,True
50,13,146,Booked,2023-10-06,5.0,3681,5.0,Leisure,0.0,False
51,13,171,Reviewed,2023-03-08,5.0,10329,,,,
52,13,362,Booked,2023-04-06,3.9,6662,3.0,Leisure,8.0,False
53,13,356,Reviewed,2023-05-14,4.6,8652,,,,
54,13,117,Booked,2023-02-12,5.0,3898,6.0,Leisure,1.0,False
55,13,171,Booked,2023-02-26,4.3,17215,1.0,Leisure,1.0,False
56,13,393,Booked,2023-04-03,3.7,15156,7.0,Leisure,17.0,False
57,14,244,Booked,2023-01-12,5.0,30908,6.0,Business,1.0,False
58,14,195,Reviewed,2023-07-12,5.0,30284,,,,
59,14,135,Reviewed,2023-03-24,4.8,8046,,,,
60,14,174,Reviewed,2023-12-04,5.0,47150,,,,
61,14,204,Booked,2023-01-17,4.7,22641,3.0,Family_vacation,0.0,False
62,15,158,Booked,2023-04-09,5.0,42030,1.0,Leisure,4.0,False
63,15,379,Reviewed,2023-04-21,5.0,7552,,,,
64,15,313,Booked,2023-04-22,5.0,20864,2.0,Business,8.0,False
65,16,347,Booked,2023-02-17,5.0,41115,6.0,Family_vacation,0.0,False
66,16,58,Booked,2023-09-11,5.0,16476,2.0,Family_vacation,0.0,False
67,16,77,Booked,2023-05-24,5.0,4599,5.0,Family_vacation,0.0,False
68,16,186,Reviewed,2023-04-16,5.0,20576,,,,
69,16,134,Booked,2023-08-10,4.5,15268,5.0,Family_vacation,0.0,False
70,17,48,Booked,2023-08-08,3.8,14247,3.0,Family_vacation,1.0,False
71,17,41,Booked,2023-08-19,3.7,4212,5.0,Family_vacation,0.0,False
72,17,191,Booked,2023-11-06,5.0,34305,3.0,Family_vacation,16.0,False
73,18,121,Booked,2023-05-06,5.0,24834,3.0,Business,31.0,False
74,18,121,Booked,2023-01-05,5.0,8278,6.0,Leisure,3.0,False
75,18,198,Booked,2023-06-14,5.0,41395,1.0,Leisure,1.0,False
76,19,107,Reviewed,2023-11-08,5.0,10554,,,,
77,19,313,Booked,2023-10-21,5.0,41728,6.0,Leisure,3.0,False
78,19,107,Reviewed,2023-06-13,5.0,10554,,,,
79,19,203,Reviewed,2023-09-13,5.0,29130,,,,
80,19,107,Reviewed,2023-08-04,5.0,42216,,,,
81,19,203,Booked,2023-03-29,5.0,48550,4.0,Leisure,2.0,True
82,19,203,Booked,2023-01-10,5.0,48550,1.0,Leisure,1.0,False
83,20,359,Booked,2023-11-27,2.3,31272,1.0,Leisure,5.0,False
84,20,26,Reviewed,2023-06-04,4.9,21567,,,,
85,20,229,Reviewed,2023-07-24,4.6,20085,,,,
86,21,238,Booked,2023-09-10,5.0,3719,7.0,Business,3.0,False
87,21,9,Booked,2023-01-15,4.4,4306,2.0,Business,1.0,False
88,21,330,Booked,2023-12-19,5.0,9210,2.0,Business,2.0,False
89,22,21,Booked,2023-01-03,5.0,7504,3.0,Leisure,1.0,True
90,22,65,Booked,2023-01-25,5.0,7297,3.0,Leisure,20.0,False
91,22,63,Reviewed,2023-07-14,2.8,7676,,,,
92,23,102,Reviewed,2023-03-17,2.9,15660,,,,
93,23,366,Booked,2023-11-23,3.3,4686,5.0,Leisure,0.0,False
94,23,223,Booked,2023-12-05,2.5,10008,3.0,Leisure,1.0,False
95,23,233,Booked,2023-05-16,4.6,4611,3.0,Leisure,0.0,False
96,24,115,Booked,2023-04-16,5.0,9251,4.0,Business,31.0,True
97,24,21,Reviewed,2023-04-21,4.2,30016,,,,
98,24,106,Booked,2023-04-07,4.2,23856,2.0,Family_vacation,21.0,False
99,25,203,Booked,2023-12-29,5.0,19420,7.0,Leisure,15.0,False
100,25,203,Booked,2023-04-23,5.0,38840,4.0,Leisure,22.0,False
101,25,313,Reviewed,2023-07-24,5.0,31296,,,,
102,26,313,Reviewed,2023-10-23,5.0,20864,,,,
103,26,319,Booked,2023-08-25,4.9,7575,2.0,Business,14.0,False
104,26,123,Booked,2023-05-17,3.5,41610,4.0,Business,2.0,False
105,26,155,Booked,2023-07-01,4.2,15184,4.0,Business,9.0,False
106,27,332,Booked,2023-02-20,4.6,33884,6.0,Family_vacation,6.0,False
107,27,135,Booked,2023-04-07,5.0,40230,3.0,Business,0.0,False
108,27,264,Booked,2023-08-10,4.7,8172,6.0,Business,0.0,False
109,27,332,Booked,2023-01-28,5.0,42355,3.0,Business,3.0,False
110,28,312,Reviewed,2023-07-27,4.3,4879,,,,
111,28,121,Booked,2023-04-23,5.0,24834,4.0,Family_vacation,0.0,False
112,28,262,Booked,2023-06-27,3.6,19005,3.0,Family_vacation,0.0,False
113,29,356,Reviewed,2023-12-19,3.9,8652,,,,
114,29,368,Reviewed,2023-12-15,3.6,6754,,,,
115,29,289,Reviewed,2023-06-20,5.0,6662,,,,
116,29,56,Booked,2023-12-08,4.3,10323,1.0,Business,2.0,False
117,30,102,Booked,2023-11-01,3.4,15660,5.0,Business,14.0,False
118,30,281,Booked,2023-08-30,2.6,2836,5.0,Leisure,41.0,False
119,30,223,Reviewed,2023-04-27,3.6,6672,,,,
120,31,385,Reviewed,2023-02-21,2.1,17394,,,,
121,31,151,Booked,2023-08-20,3.7,13086,5.0,Family_vacation,1.0,False
122,31,59,Booked,2023-07-06,3.7,16995,3.0,Family_vacation,6.0,False
123,32,18,Reviewed,2023-11-02,5.0,20799,,,,
124,32,16,Booked,2023-12-18,5.0,5908,2.0,Leisure,0.0,False
125,32,244,Booked,2023-12-04,5.0,23181,4.0,Leisure,6.0,False
126,33,91,Booked,2023-02-15,5.0,27356,6.0,Family_vacation,8.0,False
127,33,15,Booked,2023-11-17,5.0,34788,5.0,Family_vacation,5.0,False
128,33,71,Booked,2023-06-28,5.0,22340,5.0,Family_vacation,26.0,False
129,33,304,Reviewed,2023-04-08,5.0,26790,,,,
130,33,246,Booked,2023-12-26,5.0,32235,1.0,Family_vacation,33.0,False
131,33,103,Reviewed,2023-06-27,5.0,6453,,,,
132,34,178,Reviewed,2023-05-29,5.0,8954,,,,
133,34,146,Reviewed,2023-06-05,4.3,3681,,,,
134,34,60,Booked,2023-05-31,3.5,3482,2.0,Leisure,0.0,False
135,34,209,Booked,2023-09-08,4.0,13140,3.0,Leisure,1.0,True
136,35,347,Booked,2023-05-26,5.0,41115,6.0,Family_vacation,0.0,False
137,35,155,Booked,2023-02-14,4.6,15184,6.0,Business,0.0,False
138,35,203,Booked,2023-02-11,5.0,9710,4.0,Family_vacation,0.0,False
139,36,150,Booked,2023-06-04,5.0,10148,5.0,Business,15.0,False
140,36,16,Booked,2023-10-24,5.0,11816,3.0,Business,21.0,False
141,36,69,Booked,2023-06-04,5.0,14838,5.0,Leisure,8.0,False
142,36,302,Reviewed,2023-07-12,5.0,17072,,,,
143,36,77,Reviewed,2023-02-19,4.7,18396,,,,
144,37,163,Booked,2023-07-03,4.7,17076,4.0,Business,16.0,False
145,37,117,Booked,2023-01-15,4.3,3898,7.0,Business,0.0,False
146,37,258,Reviewed,2023-11-11,4.3,7798,,,,
147,38,313,Booked,2023-05-31,5.0,41728,2.0,Leisure,19.0,True
148,38,107,Reviewed,2023-09-23,5.0,10554,,,,
149,38,107,Booked,2023-02-13,5.0,10554,3.0,Leisure,9.0,False
150,38,107,Booked,2023-12-20,5.0,10554,1.0,Leisure,5.0,False
151,38,107,Booked,2023-01-28,5.0,52770,2.0,Leisure,12.0,False
152,38,313,Reviewed,2023-03-11,5.0,20864,,,,
153,38,313,Booked,2023-06-04,5.0,10432,7.0,Leisure,18.0,False
154,39,233,Reviewed,2023-11-06,5.0,23055,,,,
155,39,16,Booked,2023-02-19,4.9,5908,4.0,Business,6.0,False
156,39,83,Reviewed,2023-07-20,4.6,8829,,,,
157,39,338,Booked,2023-07-27,4.2,8608,7.0,Family_vacation,3.0,False
158,39,17,Booked,2023-05-14,5.0,23716,7.0,Family_vacation,5.0,False
159,39,234,Booked,2023-03-16,5.0,12676,2.0,Family_vacation,5.0,False
160,40,268,Reviewed,2023-05-29,5.0,4319,,,,
161,40,285,Booked,2023-10-29,5.0,15360,4.0,Leisure,15.0,False
162,40,368,Booked,2023-08-26,4.2,13508,2.0,Business,14.0,False
163,41,123,Booked,2023-12-03,5.0,8322,3.0,Leisure,0.0,False
164,41,43,Booked,2023-08-23,5.0,13748,3.0,Business,0.0,False
165,41,123,Booked,2023-04-18,5.0,41610,4.0,Business,2.0,False
166,42,286,Reviewed,2023-03-13,5.0,19974,,,,
167,42,103,Reviewed,2023-07-21,5.0,25812,,,,
168,42,158,Reviewed,2023-07-12,5.0,42030,,,,
169,42,313,Booked,2023-10-22,5.0,52160,7.0,Leisure,3.0,False
170,42,286,Booked,2023-12-24,5.0,33290,3.0,Leisure,0.0,False
171,43,229,Reviewed,2023-09-13,5.0,26780,,,,
172,43,229,Booked,2023-06-15,5.0,13390,1.0,Leisure,2.0,False
173,43,229,Booked,2023-07-16,5.0,26780,1.0,Business,2.0,False
174,44,252,Booked,2023-08-15,4.7,27895,6.0,Family_vacation,16.0,False
175,44,358,Reviewed,2023-06-14,3.6,26592,,,,
176,44,303,Booked,2023-07-13,3.7,33710,5.0,Business,0.0,False
177,44,140,Reviewed,2023-12-14,5.0,11220,,,,
178,44,181,Booked,2023-03-24,5.0,33355,7.0,Family_vacation,7.0,False
179,44,135,Booked,2023-01-13,5.0,8046,2.0,Business,43.0,False
180,44,189,Booked,2023-01-03,3.5,22180,5.0,Business,54.0,True
181,45,303,Reviewed,2023-11-25,4.8,13484,,,,
182,45,255,Reviewed,2023-04-17,4.9,23540,,,,
183,45,43,Reviewed,2023-09-14,5.0,34370,,,,
184,45,240,Booked,2023-02-04,2.7,21628,7.0,Business,0.0,True
185,45,105,Booked,2023-09-22,4.5,5305,4.0,Business,23.0,False
186,46,26,Booked,2023-05-09,4.9,21567,1.0,Family_vacation,32.0,False
187,46,304,Booked,2023-05-28,5.0,26790,2.0,Family_vacation,14.0,False
188,46,341,Reviewed,2023-09-14,5.0,38495,,,,
189,47,388,Booked,2023-08-30,5.0,18375,6.0,Business,0.0,False
190,47,129,Reviewed,2023-05-14,3.1,5056,,,,
191,47,30,Reviewed,2023-03-13,5.0,17793,,,,
192,47,65,Booked,2023-05-01,4.8,36485,5.0,Leisure,0.0,False
193,48,267,Reviewed,2023-08-02,5.0,36405,,,,
194,48,181,Reviewed,2023-02-11,5.0,26684,,,,
195,48,308,Booked,2023-03-08,3.9,4934,1.0,Business,22.0,False
196,48,300,Booked,2023-08-09,3.7,9498,1.0,Family_vacation,3.0,True
197,48,85,Reviewed,2023-04-11,4.3,21696,,,,
198,48,137,Booked,2023-12-16,4.6,6071,5.0,Family_vacation,17.0,False
199,49,121,Booked,2023-10-09,5.0,33112,1.0,Family_vacation,26.0,False
200,49,331,Reviewed,2023-07-08,5.0,30354,,,,
201,49,35,Booked,2023-08-12,5.0,10524,2.0,Business,37.0,True
202,49,35,Booked,2023-10-02,5.0,5262,7.0,Family_vacation,9.0,False
203,49,376,Booked,2023-02-09,3.8,27768,2.0,Family_vacation,40.0,False
204,49,16,Reviewed,2023-11-05,5.0,11816,,,,
205,49,91,Booked,2023-05-30,5.0,27356,4.0,Family_vacation,2.0,False
206,50,236,Booked,2023-10-06,4.0,30156,7.0,Business,19.0,False
207,50,236,Booked,2023-07-07,4.9,30156,7.0,Leisure,14.0,False
208,50,331,Reviewed,2023-05-17,4.2,50590,,,,
209,50,236,Booked,2023-01-28,4.3,40208,6.0,Leisure,3.0,False
210,51,159,Booked,2023-02-10,1.7,10068,7.0,Family_vacation,2.0,False
211,51,240,Reviewed,2023-10-11,1.0,16221,,,,
212,51,136,Reviewed,2023-03-14,1.0,7032,,,,
213,52,100,Booked,2023-08-21,5.0,4501,4.0,Family_vacation,48.0,False
214,52,106,Booked,2023-10-29,4.1,7952,1.0,Family_vacation,7.0,False
215,52,26,Booked,2023-09-11,3.5,28756,4.0,Family_vacation,0.0,False
216,52,242,Booked,2023-04-05,4.5,28150,1.0,Family_vacation,39.0,True
217,52,66,Booked,2023-06-28,5.0,21000,7.0,Family_vacation,1.0,False
218,52,31,Booked,2023-05-15,5.0,35565,2.0,Family_vacation,1.0,False
219,52,40,Booked,2023-11-15,4.2,20444,7.0,Family_vacation,5.0,False
220,53,195,Booked,2023-12-14,5.0,37855,4.0,Business,1.0,False
221,53,183,Booked,2023-09-23,4.4,28676,4.0,Leisure,6.0,False
222,53,260,Booked,2023-03-09,5.0,23919,7.0,Leisure,11.0,False
223,54,260,Booked,2023-01-20,5.0,23919,3.0,Business,21.0,False
224,54,260,Booked,2023-11-08,5.0,23919,5.0,Business,26.0,False
225,54,229,Booked,2023-04-02,4.3,6695,4.0,Business,10.0,True
226,54,195,Booked,2023-09-03,5.0,37855,2.0,Business,21.0,False
227,54,183,Reviewed,2023-02-10,4.4,35845,,,,
228,54,271,Reviewed,2023-10-10,5.0,7234,,,,
229,55,277,Booked,2023-09-11,4.9,12708,2.0,Business,6.0,False
230,55,41,Booked,2023-04-30,4.2,4212,2.0,Business,0.0,False
231,55,328,Booked,2023-10-24,3.0,17360,6.0,Business,6.0,False
232,56,60,Reviewed,2023-06-30,3.7,3482,,,,
233,56,160,Reviewed,2023-11-04,2.4,3800,,,,
234,56,398,Booked,2023-02-09,4.8,4129,5.0,Leisure,0.0,False
235,57,362,Booked,2023-08-07,4.9,6662,1.0,Leisure,0.0,False
236,57,299,Reviewed,2023-06-21,5.0,10650,,,,
237,57,299,Booked,2023-08-29,5.0,10650,5.0,Business,1.0,False
238,57,60,Booked,2023-03-18,5.0,3482,1.0,Leisure,3.0,False
239,57,146,Booked,2023-09-19,4.7,18405,7.0,Leisure,0.0,False
240,57,56,Booked,2023-04-21,4.1,17205,1.0,Leisure,0.0,False
241,58,176,Reviewed,2023-04-25,5.0,41450,,,,
242,58,98,Booked,2023-11-19,5.0,36188,5.0,Leisure,1.0,False
243,58,98,Booked,2023-09-28,5.0,45235,4.0,Leisure,4.0,False
244,59,215,Booked,2023-05-05,4.5,12057,2.0,Leisure,10.0,False
245,59,68,Booked,2023-03-01,5.0,23400,6.0,Leisure,11.0,False
246,59,104,Booked,2023-02-10,3.4,19970,1.0,Leisure,11.0,False
247,59,146,Reviewed,2023-08-18,4.1,7362,,,,
248,59,154,Booked,2023-10-19,5.0,12756,5.0,Business,4.0,False
249,60,27,Booked,2023-05-27,5.0,6706,1.0,Leisure,0.0,False
250,60,384,Booked,2023-03-17,3.7,7660,2.0,Leisure,1.0,True
251,60,5,Booked,2023-03-03,5.0,24920,6.0,Leisure,14.0,False
252,61,5,Booked,2023-12-20,5.0,4984,2.0,Leisure,6.0,False
253,61,100,Reviewed,2023-07-18,5.0,13503,,,,
254,61,288,Booked,2023-03-07,3.4,15610,2.0,Leisure,22.0,False
255,62,204,Booked,2023-01-24,4.8,22641,4.0,Leisure,2.0,False
256,62,271,Reviewed,2023-08-12,5.0,28936,,,,
257,62,271,Booked,2023-12-25,4.9,14468,6.0,Business,1.0,False
258,62,229,Reviewed,2023-03-19,5.0,33475,,,,
259,63,219,Booked,2023-06-14,3.5,18445,6.0,Leisure,4.0,False
260,63,238,Booked,2023-02-19,4.4,14876,3.0,Business,13.0,False
261,63,258,Reviewed,2023-09-26,3.7,15596,,,,
262,64,211,Reviewed,2023-04-18,5.0,23709,,,,
263,64,246,Reviewed,2023-10-22,5.0,19341,,,,
264,64,392,Booked,2023-02-20,5.0,14892,1.0,Business,62.0,False
265,65,286,Booked,2023-05-13,5.0,6658,2.0,Leisure,0.0,False
266,65,176,Reviewed,2023-04-16,5.0,41450,,,,
267,65,183,Booked,2023-03-28,4.0,7169,5.0,Leisure,1.0,False
268,65,380,Booked,2023-01-14,5.0,28323,5.0,Leisure,0.0,False
269,65,91,Booked,2023-03-06,5.0,20517,1.0,Leisure,4.0,False
270,65,214,Booked,2023-03-03,5.0,32032,4.0,Leisure,1.0,False
271,65,286,Booked,2023-05-23,5.0,6658,3.0,Leisure,2.0,False
272,66,111,Reviewed,2023-03-22,4.3,14145,,,,
273,66,243,Booked,2023-08-21,5.0,41140,6.0,Family_vacation,1.0,False
274,66,162,Booked,2023-06-11,4.9,5568,4.0,Family_vacation,0.0,False
275,67,248,Reviewed,2023-11-17,3.6,5164,,,,
276,67,269,Reviewed,2023-05-06,4.5,20824,,,,
277,67,290,Booked,2023-04-23,5.0,14574,4.0,Business,3.0,False
278,68,293,Booked,2023-09-12,2.0,12998,6.0,Family_vacation,7.0,False
279,68,293,Booked,2023-04-20,1.5,6499,4.0,Family_vacation,9.0,False
280,68,385,Booked,2023-04-02,1.0,17394,5.0,Family_vacation,8.0,False
281,69,107,Booked,2023-06-03,5.0,31662,6.0,Leisure,16.0,False
282,69,98,Booked,2023-07-20,5.0,45235,4.0,Business,3.0,False
283,69,266,Reviewed,2023-05-28,5.0,36332,,,,
284,69,91,Reviewed,2023-05-07,5.0,6839,,,,
285,69,115,Reviewed,2023-04-01,5.0,27753,,,,
286,69,266,Reviewed,2023-12-05,5.0,36332,,,,
287,70,349,Reviewed,2023-09-05,4.3,31644,,,,
288,70,57,Booked,2023-11-04,5.0,16338,1.0,Business,20.0,False
289,70,204,Booked,2023-07-29,4.6,22641,3.0,Family_vacation,22.0,False
290,70,211,Booked,2023-08-06,3.0,7903,3.0,Family_vacation,0.0,False
291,70,115,Booked,2023-11-22,5.0,27753,4.0,Business,31.0,False
292,70,211,Booked,2023-03-27,3.3,7903,5.0,Family_vacation,12.0,False
293,70,379,Booked,2023-10-04,3.0,7552,7.0,Business,15.0,False
294,71,376,Booked,2023-02-02,4.7,34710,2.0,Business,87.0,False
295,71,103,Reviewed,2023-03-22,5.0,25812,,,,
296,71,15,Booked,2023-04-28,5.0,17394,3.0,Business,57.0,False
297,71,337,Booked,2023-01-07,4.4,7280,7.0,Family_vacation,45.0,False
298,71,71,Booked,2023-07-23,5.0,5585,2.0,Business,10.0,True
299,72,16,Reviewed,2023-03-05,5.0,23632,,,,
300,72,280,Booked,2023-12-02,4.6,17943,7.0,Leisure,30.0,True
301,72,138,Booked,2023-12-27,5.0,18920,1.0,Business,15.0,False
302,72,244,Booked,2023-02-18,5.0,30908,2.0,Leisure,11.0,False
303,72,205,Booked,2023-06-15,4.7,6205,3.0,Leisure,19.0,False
304,73,362,Booked,2023-02-17,3.9,13324,5.0,Business,16.0,False
305,73,280,Booked,2023-12-26,5.0,11962,4.0,Business,8.0,False
306,73,339,Booked,2023-07-21,5.0,26900,6.0,Business,0.0,False
307,74,340,Booked,2023-04-29,5.0,22148,5.0,Business,2.0,False
308,74,400,Reviewed,2023-03-15,5.0,6698,,,,
309,74,359,Booked,2023-02-18,3.8,15636,7.0,Family_vacation,1.0,False
310,74,108,Booked,2023-03-14,5.0,26116,5.0,Family_vacation,10.0,False
311,75,70,Reviewed,2023-06-22,5.0,9234,,,,
312,75,313,Reviewed,2023-06-14,5.0,52160,,,,
313,75,98,Reviewed,2023-07-28,5.0,27141,,,,
314,75,236,Reviewed,2023-10-15,5.0,50260,,,,
315,75,344,Booked,2023-09-13,5.0,13162,3.0,Leisure,2.0,False
316,76,313,Reviewed,2023-02-23,5.0,10432,,,,
317,76,203,Booked,2023-07-12,5.0,9710,2.0,Leisure,4.0,False
318,76,203,Booked,2023-04-12,5.0,9710,1.0,Leisure,1.0,False
319,76,107,Reviewed,2023-03-13,5.0,52770,,,,
320,76,107,Booked,2023-08-03,5.0,31662,1.0,Business,0.0,False
321,76,353,Booked,2023-12-13,5.0,29751,5.0,Leisure,2.0,False
322,76,203,Reviewed,2023-03-26,5.0,48550,,,,
323,77,313,Booked,2023-07-10,5.0,31296,4.0,Leisure,0.0,False
324,77,313,Reviewed,2023-03-11,5.0,41728,,,,
325,77,313,Booked,2023-01-06,5.0,20864,2.0,Leisure,0.0,False
326,77,107,Reviewed,2023-06-09,5.0,21108,,,,
327,78,247,Booked,2023-02-01,5.0,26085,2.0,Business,4.0,False
328,78,19,Booked,2023-04-26,3.4,3927,2.0,Leisure,11.0,False
329,78,171,Reviewed,2023-08-07,3.7,10329,,,,
330,79,147,Reviewed,2023-10-15,3.3,6204,,,,
331,79,171,Booked,2023-02-09,3.7,3443,6.0,Business,21.0,False
332,79,209,Reviewed,2023-10-16,3.0,16425,,,,
333,79,328,Booked,2023-06-19,3.3,17360,5.0,Business,15.0,False
334,79,20,Booked,2023-11-12,3.1,14428,2.0,Business,4.0,False
335,79,299,Booked,2023-04-21,2.9,17750,2.0,Business,0.0,False
336,79,393,Booked,2023-01-01,3.3,3789,2.0,Leisure,1.0,False
337,80,354,Booked,2023-03-02,5.0,18664,4.0,Family_vacation,13.0,False
338,80,311,Reviewed,2023-07-01,5.0,31970,,,,
339,80,347,Booked,2023-06-12,5.0,41115,7.0,Family_vacation,16.0,False
340,80,30,Reviewed,2023-12-31,5.0,23724,,,,
341,80,35,Reviewed,2023-10-14,5.0,15786,,,,
342,80,106,Reviewed,2023-12-17,4.5,31808,,,,
343,81,393,Reviewed,2023-12-10,4.1,15156,,,,
344,81,309,Booked,2023-04-20,4.0,6170,4.0,Leisure,14.0,False
345,81,187,Booked,2023-01-06,4.0,15225,5.0,Leisure,16.0,False
346,81,111,Booked,2023-02-18,5.0,14145,5.0,Leisure,7.0,False
347,81,269,Booked,2023-01-18,5.0,20824,4.0,Business,30.0,False
348,81,131,Reviewed,2023-05-10,5.0,4881,,,,
349,82,103,Booked,2023-08-30,5.0,25812,4.0,Business,0.0,False
350,82,392,Booked,2023-11-28,5.0,7446,1.0,Leisure,3.0,False
351,82,349,Reviewed,2024-01-01,4.2,15822,,,,
352,82,229,Reviewed,2023-02-12,4.1,6695,,,,
353,82,290,Booked,2023-01-29,4.7,4858,3.0,Business,0.0,False
354,83,336,Booked,2023-01-09,4.5,13218,6.0,Leisure,2.0,False
355,83,218,Booked,2023-07-07,5.0,27440,4.0,Leisure,0.0,False
356,83,68,Reviewed,2023-02-03,4.3,29250,,,,
357,84,33,Booked,2023-11-08,5.0,34000,4.0,Business,12.0,False
358,84,122,Booked,2023-01-02,5.0,31625,3.0,Business,19.0,False
359,84,289,Booked,2023-12-23,3.7,13324,1.0,Business,53.0,False
360,85,347,Booked,2023-03-28,5.0,16446,6.0,Leisure,0.0,False
361,85,344,Booked,2023-05-07,5.0,13162,6.0,Leisure,5.0,False
362,85,295,Booked,2023-01-28,4.9,23169,2.0,Business,3.0,False
363,86,137,Reviewed,2023-05-20,4.9,12142,,,,
364,86,347,Booked,2023-06-01,4.9,32892,3.0,Business,1.0,False
365,86,304,Booked,2023-07-06,5.0,26790,4.0,Family_vacation,6.0,False
366,87,214,Booked,2023-10-27,4.5,40040,5.0,Family_vacation,22.0,False
367,87,71,Booked,2023-06-27,4.5,16755,2.0,Family_vacation,42.0,False
368,87,35,Booked,2023-10-10,5.0,15786,1.0,Family_vacation,0.0,False
369,87,236,Booked,2023-08-28,4.3,10052,5.0,Family_vacation,1.0,False
370,87,228,Booked,2023-03-13,5.0,23883,3.0,Family_vacation,12.0,False
371,88,191,Booked,2023-07-03,5.0,6861,2.0,Leisure,3.0,False
372,88,266,Booked,2023-11-28,5.0,18166,3.0,Leisure,17.0,False
373,88,46,Booked,2023-04-06,5.0,27092,7.0,Leisure,29.0,False
374,88,214,Reviewed,2023-07-24,5.0,16016,,,,
375,88,218,Booked,2023-05-10,5.0,34300,3.0,Leisure,8.0,False
376,88,332,Booked,2023-01-21,5.0,16942,7.0,Leisure,11.0,False
377,88,228,Booked,2023-02-25,5.0,23883,5.0,Leisure,1.0,True
378,89,381,Booked,2023-12-24,4.3,6682,5.0,Leisure,15.0,False
379,89,92,Booked,2023-06-20,3.7,3746,1.0,Business,4.0,False
380,89,251,Reviewed,2023-06-27,3.1,7496,,,,
381,90,168,Booked,2023-06-07,5.0,14678,7.0,Leisure,0.0,False
382,90,285,Booked,2023-05-06,5.0,25600,7.0,Leisure,7.0,True
383,90,290,Booked,2023-03-23,5.0,19432,5.0,Leisure,0.0,False
384,90,330,Booked,2023-12-09,5.0,18420,6.0,Leisure,2.0,False
