interaction_id,user_id,hotel_id,interaction_type,interaction_date,rating,total_amount_inr,stay_duration,travel_purpose,group_size,advance_booking_days,season,cancellation_flag
48,83,302,Booked,2023-10-25,3.2,81985,7.0,Leisure,2.0,3.0,Summer,True
49,188,82,Reviewed,2023-04-29,3.2,14087,,,,,,
50,128,348,Reviewed,2023-09-01,3.3,8872,,,,,,
51,198,376,Booked,2023-05-02,3.8,14476,6.0,Leisure,1.0,25.0,Festival,False
52,16,314,Reviewed,2023-05-09,4.5,65471,,,,,,
53,192,38,Booked,2023-08-15,4.5,96395,6.0,Business,1.0,30.0,Winter,False
54,179,231,Booked,2023-07-13,3.0,114774,5.0,Family_vacation,2.0,7.0,Winter,False
55,113,348,Reviewed,2023-05-27,3.2,26616,,,,,,
56,42,223,Reviewed,2023-09-28,4.3,6978,,,,,,
57,23,299,Reviewed,2023-01-13,3.5,53736,,,,,,
58,25,105,Reviewed,2023-01-18,4.2,3480,,,,,,
59,93,397,Booked,2023-07-28,3.1,85386,1.0,Leisure,2.0,6.0,Festival,False
60,54,293,Reviewed,2023-08-31,5.0,11058,,,,,,
61,159,287,Booked,2023-03-12,5.0,26116,4.0,Family_vacation,2.0,13.0,Summer,False
62,33,265,Reviewed,2023-06-02,3.2,75500,,,,,,
63,60,27,Booked,2023-11-04,3.4,5253,2.0,Leisure,2.0,30.0,Monsoon,False
64,92,35,Reviewed,2023-03-22,4.8,10168,,,,,,
65,137,295,Booked,2023-05-04,5.0,9610,5.0,Leisure,2.0,13.0,Summer,False
66,229,57,Reviewed,2023-10-26,4.3,7512,,,,,,
67,168,16,Booked,2023-01-17,3.2,29028,2.0,Leisure,2.0,29.0,Summer,False
68,141,376,Reviewed,2023-06-18,4.6,43428,,,,,,
69,234,32,Booked,2023-05-01,4.7,78449,5.0,Family_vacation,1.0,23.0,Summer,False
70,19,214,Booked,2023-11-03,4.8,11098,5.0,Leisure,2.0,5.0,Monsoon,False
71,27,19,Booked,2023-09-12,4.0,114858,3.0,Leisure,1.0,16.0,Monsoon,False
72,225,117,Booked,2023-01-11,5.0,9492,7.0,Business,5.0,20.0,Festival,False
73,189,10,Reviewed,2023-10-10,3.3,30048,,,,,,
74,197,194,Booked,2023-12-23,4.5,110574,4.0,Family_vacation,1.0,5.0,Summer,False
75,230,316,Reviewed,2023-07-08,2.9,9621,,,,,,
76,112,30,Booked,2023-05-02,2.7,38800,1.0,Business,4.0,24.0,Summer,False
77,4,369,Booked,2023-05-08,3.9,3986,1.0,Business,2.0,15.0,Winter,False
78,81,180,Reviewed,2023-11-05,3.7,20316,,,,,,
79,75,67,Reviewed,2023-11-07,4.5,55002,,,,,,
80,32,337,Booked,2023-02-09,4.5,8575,2.0,Leisure,1.0,23.0,Monsoon,False
81,220,113,Booked,2023-08-16,4.8,36534,7.0,Family_vacation,4.0,28.0,Winter,False
82,69,164,Reviewed,2023-12-24,3.8,1961,,,,,,
83,14,178,Booked,2023-07-30,4.6,31490,4.0,Leisure,1.0,3.0,Winter,False
84,216,267,Reviewed,2023-04-29,4.6,37685,,,,,,
85,54,63,Reviewed,2023-07-10,4.4,98686,,,,,,
86,37,19,Reviewed,2023-05-01,4.2,114858,,,,,,
87,196,233,Booked,2023-02-28,3.6,15428,1.0,Leisure,2.0,9.0,Festival,False
88,248,44,Reviewed,2023-01-31,4.0,70175,,,,,,
89,99,254,Booked,2023-01-10,4.2,49296,4.0,Business,1.0,8.0,Winter,False
90,169,221,Booked,2023-09-30,2.7,19737,1.0,Family_vacation,4.0,30.0,Summer,False
91,194,173,Booked,2023-05-15,5.0,57405,2.0,Business,2.0,11.0,Festival,False
92,201,374,Booked,2023-01-30,4.3,35650,4.0,Family_vacation,2.0,30.0,Monsoon,False
93,241,274,Reviewed,2023-08-26,3.2,90618,,,,,,
94,146,394,Reviewed,2023-09-23,4.1,55600,,,,,,
95,120,382,Reviewed,2023-05-02,3.3,17870,,,,,,
96,72,350,Booked,2023-05-21,3.3,14022,7.0,Family_vacation,4.0,11.0,Festival,True
97,71,186,Booked,2023-05-18,4.2,30023,6.0,Family_vacation,1.0,1.0,Summer,False
98,170,165,Booked,2023-05-16,5.0,70248,4.0,Business,2.0,15.0,Summer,False
99,248,184,Reviewed,2023-09-03,3.3,44795,,,,,,
100,56,210,Booked,2023-01-30,3.9,3837,3.0,Family_vacation,2.0,18.0,Monsoon,False
101,113,93,Reviewed,2023-05-13,3.4,13875,,,,,,
102,67,254,Booked,2023-03-07,3.5,24648,2.0,Family_vacation,1.0,21.0,Summer,False
103,168,20,Booked,2023-04-05,4.7,50414,4.0,Family_vacation,2.0,11.0,Summer,False
104,59,32,Reviewed,2024-01-01,5.0,33621,,,,,,
105,5,348,Booked,2023-06-30,3.5,4436,5.0,Business,2.0,12.0,Summer,True
106,114,58,Reviewed,2023-09-19,3.5,20902,,,,,,
107,84,293,Reviewed,2023-07-10,5.0,22116,,,,,,
108,107,37,Booked,2023-11-25,4.5,13467,2.0,Business,2.0,11.0,Monsoon,False
109,105,334,Booked,2023-07-11,4.3,39912,5.0,Business,3.0,12.0,Summer,False
110,39,303,Booked,2023-01-14,4.1,37074,7.0,Leisure,2.0,17.0,Monsoon,False
111,97,299,Reviewed,2023-01-17,3.6,17912,,,,,,
112,98,391,Booked,2023-11-29,3.7,12785,2.0,Family_vacation,5.0,19.0,Festival,False
113,32,271,Reviewed,2023-01-27,4.5,104646,,,,,,
114,135,267,Reviewed,2023-08-14,4.6,15074,,,,,,
115,215,295,Reviewed,2023-05-31,5.0,5766,,,,,,
116,63,394,Booked,2023-07-05,4.1,41700,6.0,Business,5.0,8.0,Festival,False
117,226,210,Reviewed,2023-07-05,3.4,19185,,,,,,
118,130,40,Reviewed,2023-07-05,3.7,75480,,,,,,
119,59,230,Booked,2023-08-03,3.9,111930,7.0,Business,2.0,30.0,Winter,False
120,105,346,Booked,2023-10-27,4.6,58100,3.0,Leisure,4.0,11.0,Summer,True
121,108,259,Reviewed,2023-03-17,4.8,39330,,,,,,
122,226,396,Booked,2023-04-12,4.4,22756,1.0,Business,2.0,4.0,Festival,False
123,142,365,Reviewed,2023-08-29,5.0,22992,,,,,,
124,223,18,Booked,2023-08-09,3.9,38140,1.0,Business,2.0,17.0,Festival,False
125,91,66,Booked,2023-07-25,4.7,37506,6.0,Leisure,3.0,11.0,Monsoon,False
126,158,56,Reviewed,2023-01-24,4.3,40632,,,,,,
127,244,230,Booked,2023-07-29,4.3,95940,7.0,Leisure,2.0,10.0,Festival,False
128,188,94,Booked,2023-10-29,4.9,26735,1.0,Business,1.0,29.0,Summer,False
129,95,346,Booked,2023-11-29,4.4,34860,4.0,Business,5.0,24.0,Monsoon,False
130,25,119,Booked,2023-06-02,4.2,5889,5.0,Family_vacation,1.0,29.0,Festival,False
131,99,164,Booked,2023-04-02,4.2,1961,7.0,Family_vacation,1.0,29.0,Winter,False
132,72,295,Booked,2023-11-12,4.5,5766,3.0,Business,3.0,10.0,Monsoon,False
133,58,87,Reviewed,2023-05-28,3.9,15303,,,,,,
134,156,386,Booked,2023-02-24,4.3,100830,3.0,Business,2.0,4.0,Winter,False
135,131,387,Reviewed,2023-03-28,4.1,17294,,,,,,
136,246,277,Booked,2023-10-03,3.4,3218,4.0,Business,4.0,7.0,Monsoon,False
137,147,219,Reviewed,2023-08-16,4.2,119511,,,,,,
138,117,152,Booked,2023-02-26,4.3,129045,1.0,Leisure,1.0,29.0,Festival,False
139,23,71,Reviewed,2023-05-23,5.0,3717,,,,,,
140,248,182,Booked,2023-02-10,5.0,27992,6.0,Business,4.0,6.0,Monsoon,False
141,162,377,Booked,2023-09-20,5.0,19614,6.0,Family_vacation,2.0,11.0,Summer,False
142,239,362,Booked,2023-09-24,3.2,119616,5.0,Family_vacation,2.0,27.0,Summer,False
143,161,5,Booked,2023-05-06,4.4,58348,7.0,Business,2.0,22.0,Winter,False
144,39,249,Booked,2023-04-06,4.2,27861,2.0,Business,2.0,21.0,Summer,False
145,220,371,Booked,2023-04-20,3.0,19608,4.0,Family_vacation,5.0,7.0,Winter,True
146,177,135,Reviewed,2023-11-11,4.0,8805,,,,,,
147,61,327,Booked,2023-06-28,3.9,92754,2.0,Leisure,2.0,27.0,Winter,False
148,172,249,Booked,2023-09-08,4.3,37148,5.0,Leisure,2.0,18.0,Festival,False
149,57,58,Reviewed,2023-05-28,3.8,41804,,,,,,
150,84,127,Reviewed,2023-12-06,4.1,37042,,,,,,
151,119,164,Booked,2023-12-05,3.3,11766,4.0,Family_vacation,1.0,5.0,Festival,False
152,222,251,Booked,2023-11-04,4.7,24028,1.0,Leisure,2.0,9.0,Winter,False
153,201,210,Booked,2023-02-01,3.9,11511,3.0,Family_vacation,2.0,11.0,Festival,False
154,114,218,Reviewed,2023-07-24,4.1,11727,,,,,,
155,69,249,Reviewed,2023-04-23,3.8,65009,,,,,,
156,12,158,Booked,2023-08-18,3.4,41370,2.0,Family_vacation,1.0,7.0,Summer,False
157,158,313,Reviewed,2023-06-18,4.4,16660,,,,,,
158,6,370,Reviewed,2023-01-11,4.7,6017,,,,,,
159,200,361,Booked,2023-06-20,4.9,44310,7.0,Family_vacation,3.0,21.0,Summer,False
160,93,275,Reviewed,2023-04-12,4.8,119679,,,,,,
161,138,203,Booked,2023-04-28,4.6,34586,3.0,Leisure,4.0,7.0,Winter,False
162,10,11,Booked,2023-09-27,3.3,57172,7.0,Leisure,2.0,2.0,Winter,False
163,7,118,Booked,2023-11-20,3.3,17076,1.0,Leisure,5.0,4.0,Festival,False
164,34,380,Booked,2023-05-19,5.0,8053,1.0,Family_vacation,1.0,24.0,Festival,True
165,191,278,Booked,2023-11-06,3.6,17373,6.0,Family_vacation,4.0,7.0,Monsoon,False
166,109,263,Reviewed,2023-01-12,4.5,7860,,,,,,
167,52,52,Booked,2023-05-16,3.7,76470,4.0,Leisure,2.0,10.0,Festival,True
168,248,209,Booked,2023-10-15,2.8,16416,6.0,Family_vacation,5.0,8.0,Festival,True
169,128,373,Booked,2023-07-21,4.1,114065,5.0,Family_vacation,1.0,4.0,Festival,False
170,250,13,Reviewed,2023-07-23,4.2,79792,,,,,,
171,95,245,Booked,2023-10-16,4.4,59808,3.0,Business,5.0,3.0,Summer,False
172,54,251,Booked,2023-10-31,4.5,24028,4.0,Family_vacation,2.0,27.0,Festival,False
173,215,291,Booked,2023-04-30,4.2,17280,3.0,Leisure,1.0,10.0,Monsoon,False
174,10,165,Booked,2023-12-19,5.0,70248,7.0,Business,2.0,9.0,Winter,False
175,204,251,Reviewed,2023-10-07,4.8,72084,,,,,,
176,61,165,Reviewed,2023-08-25,5.0,87810,,,,,,
177,143,379,Booked,2023-02-11,4.0,63756,6.0,Business,2.0,13.0,Winter,False
178,42,267,Reviewed,2023-03-04,4.4,30148,,,,,,
179,223,59,Reviewed,2023-01-20,3.6,71192,,,,,,
180,44,321,Reviewed,2023-09-26,4.2,60174,,,,,,
181,224,281,Booked,2023-08-03,3.1,33576,1.0,Leisure,1.0,10.0,Monsoon,False
182,158,191,Booked,2023-10-16,3.2,34958,3.0,Family_vacation,2.0,22.0,Winter,False
183,244,366,Booked,2023-07-10,4.2,28539,4.0,Leisure,2.0,7.0,Monsoon,False
184,185,70,Reviewed,2023-03-26,4.5,65002,,,,,,
185,122,6,Booked,2023-06-12,4.4,38190,4.0,Business,2.0,1.0,Monsoon,False
186,52,356,Booked,2023-02-18,4.7,44496,1.0,Business,2.0,20.0,Festival,False
187,18,180,Booked,2023-11-22,3.6,20316,3.0,Family_vacation,3.0,30.0,Winter,False
188,211,219,Reviewed,2023-10-27,4.4,51219,,,,,,
189,160,393,Booked,2023-07-26,4.8,24015,5.0,Family_vacation,2.0,22.0,Winter,True
190,40,53,Reviewed,2023-04-21,4.1,52695,,,,,,
191,145,53,Reviewed,2023-03-06,4.7,87825,,,,,,
192,166,393,Booked,2023-07-16,4.2,33621,7.0,Family_vacation,2.0,20.0,Monsoon,False
193,189,316,Reviewed,2023-12-09,3.5,6414,,,,,,
194,44,2,Booked,2023-04-29,4.0,8555,7.0,Family_vacation,2.0,5.0,Winter,False
195,224,1,Reviewed,2023-06-15,4.1,9524,,,,,,
196,36,262,Booked,2023-08-14,3.5,10628,3.0,Leisure,5.0,25.0,Summer,False
197,101,194,Reviewed,2023-07-17,5.0,55287,,,,,,
198,80,268,Reviewed,2023-06-12,5.0,50860,,,,,,
199,216,110,Reviewed,2023-03-27,4.2,31486,,,,,,
200,72,365,Reviewed,2023-03-15,5.0,57480,,,,,,
201,114,251,Booked,2023-12-22,5.0,72084,1.0,Family_vacation,4.0,21.0,Monsoon,False
202,222,188,Reviewed,2023-08-27,4.5,34548,,,,,,
203,187,218,Reviewed,2023-04-20,4.5,23454,,,,,,
204,98,192,Booked,2023-04-02,4.6,7196,2.0,Leisure,4.0,17.0,Winter,True
205,80,169,Booked,2023-02-18,4.1,15891,5.0,Business,5.0,9.0,Summer,False
206,165,246,Reviewed,2023-07-23,2.6,77742,,,,,,
207,181,130,Reviewed,2023-05-21,3.9,46995,,,,,,
208,211,16,Reviewed,2023-08-30,3.9,58056,,,,,,
209,117,252,Booked,2023-03-30,3.6,42966,6.0,Family_vacation,1.0,26.0,Summer,True
210,8,314,Reviewed,2024-01-01,4.5,56118,,,,,,
211,46,68,Booked,2023-02-12,4.8,128835,1.0,Business,4.0,21.0,Summer,False
212,220,279,Reviewed,2023-05-23,4.3,25516,,,,,,
213,168,315,Booked,2023-01-09,3.4,24744,7.0,Leisure,2.0,29.0,Winter,False
214,151,370,Reviewed,2023-07-07,4.5,36102,,,,,,
215,104,214,Reviewed,2023-12-08,4.7,11098,,,,,,
216,50,390,Booked,2023-09-14,4.3,5712,1.0,Business,4.0,2.0,Monsoon,False
217,177,259,Reviewed,2023-07-29,4.4,39330,,,,,,
218,216,2,Booked,2023-06-09,3.3,25665,1.0,Leisure,1.0,15.0,Summer,False
219,119,46,Reviewed,2023-03-01,3.8,19424,,,,,,
220,187,45,Reviewed,2023-04-06,4.5,48162,,,,,,
221,248,11,Booked,2023-03-28,4.0,28586,6.0,Leisure,4.0,3.0,Winter,False
222,175,329,Reviewed,2023-04-08,4.8,86256,,,,,,
223,34,159,Reviewed,2023-01-28,4.2,43539,,,,,,
224,46,143,Booked,2023-03-13,3.8,36508,2.0,Business,4.0,29.0,Winter,False
225,76,133,Booked,2023-12-24,3.5,3592,4.0,Leisure,5.0,12.0,Monsoon,False
226,134,231,Reviewed,2023-11-20,3.6,38258,,,,,,
227,10,300,Reviewed,2023-07-17,3.8,55110,,,,,,
228,54,360,Reviewed,2023-08-11,4.7,39396,,,,,,
229,175,148,Reviewed,2023-04-17,4.0,24115,,,,,,
230,142,381,Booked,2023-05-18,4.4,101115,2.0,Leisure,1.0,7.0,Festival,False
231,237,60,Reviewed,2023-09-22,4.6,30372,,,,,,
232,122,72,Booked,2023-08-28,4.0,22416,5.0,Leisure,2.0,22.0,Summer,False
233,27,323,Booked,2023-07-03,5.0,6351,2.0,Leisure,1.0,16.0,Monsoon,False
234,232,52,Booked,2023-04-06,3.7,45882,2.0,Leisure,5.0,6.0,Summer,False
235,158,234,Booked,2023-10-31,3.6,50796,6.0,Leisure,2.0,16.0,Winter,False
236,96,308,Booked,2023-06-22,4.7,18416,3.0,Business,3.0,25.0,Summer,False
237,199,138,Booked,2023-10-23,3.1,16231,2.0,Family_vacation,2.0,6.0,Monsoon,False
238,248,358,Reviewed,2023-09-26,4.2,79345,,,,,,
239,193,72,Booked,2023-03-08,4.1,52304,1.0,Business,2.0,10.0,Winter,False
240,118,203,Booked,2023-03-26,4.7,103758,2.0,Business,1.0,29.0,Winter,False
241,21,95,Booked,2023-05-01,4.4,53416,1.0,Family_vacation,2.0,8.0,Winter,False
242,217,398,Booked,2023-07-11,4.3,28010,3.0,Business,4.0,18.0,Festival,False
243,234,242,Booked,2023-12-09,4.5,70676,6.0,Business,1.0,25.0,Summer,False
244,82,391,Booked,2023-03-10,4.0,38355,3.0,Family_vacation,5.0,28.0,Festival,False
245,137,37,Reviewed,2023-06-27,4.6,26934,,,,,,
246,249,301,Reviewed,2023-01-14,3.4,40115,,,,,,
247,46,394,Reviewed,2023-05-01,4.2,41700,,,,,,
248,129,1,Booked,2023-11-09,4.6,38096,1.0,Family_vacation,1.0,8.0,Winter,False
249,12,109,Booked,2023-06-04,3.7,36582,4.0,Family_vacation,1.0,6.0,Festival,False
250,80,199,Reviewed,2023-12-12,4.9,19541,,,,,,
251,67,216,Booked,2023-04-02,2.9,95196,5.0,Business,1.0,15.0,Summer,False
252,188,52,Booked,2023-12-02,3.6,107058,7.0,Business,1.0,6.0,Monsoon,False
253,130,197,Booked,2023-12-18,3.8,30772,6.0,Family_vacation,4.0,14.0,Summer,False
254,67,380,Booked,2023-11-21,4.5,56371,7.0,Leisure,1.0,17.0,Monsoon,False
255,183,172,Booked,2023-10-01,4.0,10614,7.0,Business,2.0,14.0,Festival,False
256,21,77,Booked,2023-01-04,3.6,21762,5.0,Leisure,2.0,7.0,Festival,False
257,119,145,Booked,2023-01-21,2.7,24564,4.0,Leisure,1.0,2.0,Monsoon,False
258,87,346,Booked,2023-06-01,4.7,11620,5.0,Leisure,1.0,6.0,Monsoon,False
259,5,229,Reviewed,2023-06-16,3.9,17486,,,,,,
260,153,58,Reviewed,2023-07-02,4.1,52255,,,,,,
261,190,203,Reviewed,2023-05-08,4.4,86465,,,,,,
262,25,65,Reviewed,2023-03-16,5.0,46576,,,,,,
263,229,141,Reviewed,2023-06-26,4.3,14796,,,,,,
264,159,125,Booked,2023-09-26,4.4,13238,1.0,Leisure,2.0,12.0,Summer,False
265,186,327,Booked,2023-02-21,3.8,92754,1.0,Leisure,2.0,30.0,Monsoon,False
266,6,95,Booked,2023-05-12,4.3,80124,1.0,Leisure,2.0,4.0,Winter,False
267,78,316,Reviewed,2023-09-21,3.1,22449,,,,,,
268,63,356,Reviewed,2023-01-26,4.6,59328,,,,,,
269,56,390,Booked,2023-08-12,4.5,11424,7.0,Business,2.0,9.0,Summer,False
270,233,93,Reviewed,2023-12-14,2.9,4625,,,,,,
271,105,107,Booked,2023-01-10,4.6,74130,2.0,Leisure,4.0,15.0,Monsoon,True
272,58,10,Reviewed,2023-12-30,3.1,7512,,,,,,
273,157,148,Booked,2023-12-31,4.2,19292,5.0,Leisure,1.0,21.0,Monsoon,False
274,122,286,Booked,2023-01-07,3.7,34392,3.0,Leisure,2.0,5.0,Festival,False
275,128,108,Booked,2023-09-30,5.0,37344,4.0,Leisure,1.0,13.0,Summer,False
276,147,41,Booked,2023-11-20,3.5,42147,1.0,Business,2.0,24.0,Monsoon,False
277,193,162,Booked,2023-08-20,4.9,17899,2.0,Family_vacation,2.0,19.0,Winter,False
278,145,221,Booked,2023-08-01,3.7,6579,7.0,Leisure,2.0,18.0,Festival,False
279,97,276,Reviewed,2023-03-09,4.1,134295,,,,,,
280,32,50,Booked,2023-07-22,4.6,13253,5.0,Leisure,1.0,6.0,Winter,False
281,189,206,Booked,2023-10-09,3.0,90153,2.0,Leisure,5.0,9.0,Monsoon,False
282,162,55,Reviewed,2023-12-07,4.5,119412,,,,,,
283,196,326,Reviewed,2023-06-12,3.6,78335,,,,,,
284,101,116,Booked,2023-07-26,4.0,44720,3.0,Leisure,3.0,30.0,Winter,False
285,1,273,Booked,2023-06-21,3.6,21570,2.0,Family_vacation,2.0,30.0,Summer,False
286,168,215,Booked,2023-08-03,4.3,64968,1.0,Family_vacation,2.0,8.0,Winter,False
287,129,42,Booked,2023-11-03,4.1,65888,1.0,Leisure,1.0,20.0,Winter,False
288,161,242,Reviewed,2023-12-17,4.2,53007,,,,,,
289,6,381,Booked,2023-11-04,5.0,86670,4.0,Family_vacation,2.0,17.0,Winter,False
290,42,235,Booked,2023-07-08,4.1,12512,2.0,Leisure,1.0,30.0,Winter,False
291,76,34,Reviewed,2023-01-16,4.7,46024,,,,,,
292,118,126,Booked,2023-12-17,4.0,31036,7.0,Business,1.0,15.0,Summer,False
293,215,170,Booked,2023-03-23,4.0,41790,1.0,Business,1.0,24.0,Summer,False
294,105,267,Booked,2023-08-29,5.0,7537,7.0,Leisure,4.0,29.0,Summer,False
295,156,332,Reviewed,2023-10-01,3.3,7032,,,,,,
296,124,372,Booked,2023-01-31,4.5,50540,7.0,Family_vacation,3.0,12.0,Festival,False
297,131,323,Reviewed,2023-11-29,4.6,44457,,,,,,
298,32,54,Booked,2023-03-16,5.0,109144,7.0,Family_vacation,1.0,25.0,Summer,False
299,94,212,Booked,2023-12-03,3.4,11284,7.0,Leisure,1.0,7.0,Monsoon,True
300,165,356,Reviewed,2023-02-07,4.6,88992,,,,,,
301,126,386,Reviewed,2023-05-06,4.1,50415,,,,,,
302,76,353,Reviewed,2023-08-16,4.1,76600,,,,,,
303,180,133,Reviewed,2023-10-18,3.3,3592,,,,,,
304,195,72,Reviewed,2023-03-17,4.0,7472,,,,,,
305,57,190,Booked,2023-10-16,3.3,33105,3.0,Family_vacation,1.0,6.0,Monsoon,False
306,113,345,Booked,2023-05-31,4.3,40957,6.0,Business,1.0,5.0,Monsoon,False
307,66,327,Reviewed,2023-04-27,3.4,30918,,,,,,
308,150,156,Booked,2023-03-17,4.1,20127,3.0,Family_vacation,5.0,24.0,Festival,False
309,231,88,Reviewed,2023-06-26,5.0,63585,,,,,,
310,219,257,Reviewed,2023-06-10,4.4,65372,,,,,,
311,222,249,Booked,2023-11-28,3.6,46435,4.0,Business,2.0,16.0,Festival,True
312,243,34,Booked,2023-06-25,4.7,23012,2.0,Business,4.0,20.0,Summer,False
313,92,256,Reviewed,2023-08-24,4.3,72966,,,,,,
314,233,7,Booked,2023-09-26,4.0,12828,2.0,Leisure,2.0,22.0,Summer,False
315,26,169,Reviewed,2023-09-17,3.2,26485,,,,,,
316,247,274,Booked,2023-10-03,3.7,105721,1.0,Leisure,1.0,19.0,Winter,False
317,205,379,Reviewed,2023-04-04,3.7,95634,,,,,,
318,220,126,Booked,2023-04-27,4.1,62072,2.0,Business,5.0,9.0,Monsoon,True
319,49,376,Reviewed,2023-02-02,4.6,14476,,,,,,
320,134,156,Booked,2023-02-01,3.7,13418,5.0,Family_vacation,1.0,16.0,Festival,True
321,226,27,Booked,2023-06-13,3.6,5253,2.0,Leisure,2.0,4.0,Festival,True
322,51,52,Booked,2023-10-05,3.3,76470,4.0,Leisure,1.0,19.0,Summer,False
323,221,58,Reviewed,2023-08-15,4.2,20902,,,,,,
324,151,326,Reviewed,2023-11-11,3.8,15667,,,,,,
325,65,387,Booked,2023-07-28,4.7,69176,6.0,Business,1.0,11.0,Festival,False
326,244,331,Booked,2023-06-03,3.2,31280,2.0,Leisure,2.0,9.0,Monsoon,False
327,29,388,Booked,2023-04-04,3.0,53718,5.0,Leisure,1.0,16.0,Winter,False
328,195,222,Reviewed,2023-12-11,3.6,84364,,,,,,
329,114,176,Reviewed,2023-11-23,5.0,67438,,,,,,
330,47,100,Booked,2023-02-25,4.2,25570,3.0,Family_vacation,2.0,10.0,Monsoon,False
331,121,53,Booked,2023-12-17,4.2,87825,2.0,Family_vacation,1.0,22.0,Winter,False
332,50,393,Booked,2023-07-22,4.6,33621,2.0,Family_vacation,5.0,6.0,Monsoon,False
333,122,335,Booked,2023-11-01,3.6,125979,6.0,Leisure,2.0,8.0,Monsoon,False
334,220,156,Booked,2023-07-09,3.7,20127,6.0,Leisure,5.0,11.0,Festival,False
335,145,202,Reviewed,2023-08-02,2.7,15484,,,,,,
