hotel_id,name,city,state,star_rating,price_per_night_inr,property_type,total_rooms,year_established,free_wifi,air_conditioning,parking,room_service,24_7_front_desk,restaurant,gym,pool,spa,business_center,conference_hall,airport_shuttle,meeting_rooms,vegetarian_restaurant,multilingual_staff,local_cuisine,popularity_score,review_count
77,"Taj Choudhry, Batta and Swaminathan Jaipur",Jaipur,Rajasthan,4,4599,Resort,204,2007,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,3.0,2.0
78,ITC Shetty PLC Delhi,Delhi,Delhi,4,6522,Business Hotel,106,2014,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,0.0,0.0
79,ITC Chadha-Chad Bangalore,Bangalore,Karnataka,4,5343,Resort,188,2018,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,1.0,0.0
80,"Leela Badal, Gill and Gade Hyderabad",Hyderabad,Telangana,4,5301,Resort,78,2002,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,2.0,0.0
81,"Leela Biswas, Walia and Shankar Lucknow",Lucknow,Uttar Pradesh,4,4503,Resort,57,2018,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True,True,2.0,1.0
82,Leela Munshi Inc Lucknow,Lucknow,Uttar Pradesh,4,4078,Resort,240,1996,True,True,False,False,True,False,True,False,False,True,True,False,True,True,False,True,0.0,0.0
83,Royal Sarkar-Wali Mumbai,Mumbai,Maharashtra,5,8829,5-Star Resort,179,2011,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,6.0,2.0
84,Taj Saini-Venkatesh Jaipur,Jaipur,Rajasthan,3,3855,Service Apartment,238,2019,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,3.0,1.0
85,Taj Madan Ltd Chennai,Chennai,Tamil Nadu,4,5424,Resort,120,2019,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,3.0,1.0
86,Taj Gera LLC Delhi,Delhi,Delhi,4,6705,Hotel,113,2013,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,0.0,0.0
87,Royal Dutta PLC Bangalore,Bangalore,Karnataka,5,7215,Luxury Hotel,216,2022,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,3.0,0.0
88,"Grand Mahal, Pall and Deep Kochi",Kochi,Kerala,4,4347,Resort,298,2013,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,3.0,2.0
89,ITC Walia-Bhat Ahmedabad,Ahmedabad,Gujarat,4,5041,Business Hotel,199,2017,True,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,0.0,0.0
90,"Leela Khatri, Lad and Dara Bangalore",Bangalore,Karnataka,3,4420,Hotel,161,1998,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.0,0.0
91,Leela Yohannan-Kadakia Bangalore,Bangalore,Karnataka,5,6839,5-Star Resort,21,1995,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,7.0,2.0
92,"Leela Raja, Munshi and Upadhyay Jaipur",Jaipur,Rajasthan,3,3746,Hotel,83,2000,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,2.0,0.0
93,"Royal Sundaram, Konda and Acharya Jaipur",Jaipur,Rajasthan,3,3616,Boutique Hotel,66,1996,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,3.0,1.0
94,Leela Banik LLC Mumbai,Mumbai,Maharashtra,3,5429,Hotel,93,1994,True,True,True,False,True,True,True,False,False,False,True,True,False,True,True,True,3.0,0.0
95,Royal Saxena-Guha Ahmedabad,Ahmedabad,Gujarat,4,4795,Resort,63,2005,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,False,1.0,1.0
96,ITC Barad-Kannan Ahmedabad,Ahmedabad,Gujarat,3,3623,Hotel,290,1990,True,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,2.0,2.0
97,ITC Chowdhury Group Hyderabad,Hyderabad,Telangana,4,5842,Resort,236,2015,True,True,True,True,True,False,False,False,True,True,False,True,True,False,True,True,0.0,0.0
98,Royal Balay LLC Delhi,Delhi,Delhi,5,9047,Luxury Hotel,242,1997,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,10.0,3.0
99,"Grand Mahajan, Thaman and Agate Jaipur",Jaipur,Rajasthan,3,3729,Hotel,191,2017,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,6.0,1.0
100,"Grand Varty, Manne and Basu Kolkata",Kolkata,West Bengal,4,4501,Hotel,43,2020,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,5.0,3.0
101,ITC Dyal-Shukla Hyderabad,Hyderabad,Telangana,4,5250,Hotel,225,1994,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,0.0,0.0
102,"Royal Parsa, Datta and Sridhar Jaipur",Jaipur,Rajasthan,3,3915,Hotel,229,1991,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,3.0,2.0
103,Royal Nigam Group Chennai,Chennai,Tamil Nadu,5,6453,Business Hotel,231,2013,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,5.0,3.0
104,Grand Venkataraman-Sodhi Jaipur,Jaipur,Rajasthan,3,3994,Hotel,89,1996,True,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,6.0,3.0
105,"Royal Saxena, Kalla and Mahajan Bangalore",Bangalore,Karnataka,4,5305,Resort,222,2022,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,2.0,0.0
106,Grand Tailor Group Mumbai,Mumbai,Maharashtra,4,7952,Business Hotel,152,1994,True,False,True,True,True,False,True,True,False,True,True,False,False,True,False,True,6.0,1.0
107,"Royal Sachar, Goda and Hora Mumbai",Mumbai,Maharashtra,5,10554,5-Star Resort,163,2018,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,20.0,12.0
108,Taj Dewan Group Bangalore,Bangalore,Karnataka,5,6529,5-Star Resort,298,2021,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,6.0,2.0
109,Grand Madan-Devan Hyderabad,Hyderabad,Telangana,4,5819,Hotel,218,2012,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,2.0,1.0
110,"Royal Natarajan, Mandal and Barad Bangalore",Bangalore,Karnataka,3,4040,Service Apartment,132,1991,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0
111,Leela Kata Group Ahmedabad,Ahmedabad,Gujarat,4,4715,Business Hotel,71,2011,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,3.0,2.0
112,Royal Palan Inc Kolkata,Kolkata,West Bengal,4,4321,Business Hotel,20,2015,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,0.0,0.0
113,"Leela Chokshi, Varghese and Mallick Lucknow",Lucknow,Uttar Pradesh,4,3712,Hotel,155,2003,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,1.0,0.0
114,Leela Chaudry-Amble Chennai,Chennai,Tamil Nadu,5,6647,Luxury Hotel,37,2008,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,3.0,0.0
115,"Grand Tank, Gokhale and Chhabra Mumbai",Mumbai,Maharashtra,5,9251,5-Star Resort,125,2002,False,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,9.0,3.0
116,Royal Sur-Raman Pune,Pune,Maharashtra,4,6386,Business Hotel,169,1995,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,0.0,0.0
117,Grand De-Sengupta Jaipur,Jaipur,Rajasthan,3,3898,Hotel,196,2016,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,14.0,5.0
118,Royal Divan-Palla Lucknow,Lucknow,Uttar Pradesh,4,3872,Hotel,249,2001,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,False,3.0,1.0
119,Leela Seshadri-Sagar Bangalore,Bangalore,Karnataka,4,6303,Hotel,287,2016,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True,0.0,0.0
120,"Royal Venkatesh, Kurian and Bandi Delhi",Delhi,Delhi,4,6919,Business Hotel,225,1992,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,2.0,1.0
121,Taj Vaidya Ltd Pune,Pune,Maharashtra,5,8278,5-Star Resort,233,1995,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,True,5.0,1.0
122,Grand Ravel Ltd Chennai,Chennai,Tamil Nadu,5,6325,Luxury Hotel,36,2019,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,3.0,1.0
123,Grand Sankaran Inc Mumbai,Mumbai,Maharashtra,4,8322,Resort,34,2014,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,9.0,2.0
124,"Taj Karan, Chopra and Bhandari Mumbai",Mumbai,Maharashtra,3,5371,Service Apartment,160,2017,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,0.0,0.0
125,Taj Sur PLC Pune,Pune,Maharashtra,4,6576,Business Hotel,186,2007,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,0.0,0.0
126,"Grand Mammen, Dhillon and Patla Kolkata",Kolkata,West Bengal,5,5774,Business Hotel,117,2011,False,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,1.0,0.0
127,Grand Savant-Jayaraman Chennai,Chennai,Tamil Nadu,5,6638,Luxury Hotel,201,2004,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,2.0,1.0
128,Royal Shan-Mohanty Kolkata,Kolkata,West Bengal,4,4408,Hotel,122,2011,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,2.0,2.0
129,"Grand Narain, Sarkar and Pall Pune",Pune,Maharashtra,3,5056,Hotel,242,2017,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,3.0,1.0
130,Taj Warrior-Thakkar Pune,Pune,Maharashtra,5,7570,Luxury Hotel,53,1992,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,2.0,0.0
131,Grand Mandal LLC Kolkata,Kolkata,West Bengal,4,4881,Business Hotel,278,2000,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,True,3.0,2.0
132,Grand Deshmukh-Khanna Delhi,Delhi,Delhi,4,6852,Resort,235,1996,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,0.0,0.0
133,ITC Mall PLC Kochi,Kochi,Kerala,5,5462,5-Star Resort,126,2020,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,3.0,1.0
134,Grand Kata-Kadakia Hyderabad,Hyderabad,Telangana,3,3817,Boutique Hotel,204,2010,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,4.0,0.0
135,Leela Jha-Lata Pune,Pune,Maharashtra,5,8046,Business Hotel,264,2016,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,3.0,1.0
136,Royal Chada Ltd Kochi,Kochi,Kerala,3,3516,Boutique Hotel,269,1997,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,10.0,2.0
137,Leela Basak-Narula Pune,Pune,Maharashtra,4,6071,Hotel,47,1990,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,3.0,1.0
138,Leela Jha-Dubey Kochi,Kochi,Kerala,4,4730,Resort,181,1997,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,4.0,2.0
139,"Taj Dhillon, Nagy and Modi Jaipur",Jaipur,Rajasthan,3,3826,Service Apartment,262,2013,True,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,4.0,2.0
140,"Leela Cheema, Comar and Edwin Jaipur",Jaipur,Rajasthan,5,5610,Luxury Hotel,254,2002,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,4.0,3.0
141,Royal Rege-Devi Hyderabad,Hyderabad,Telangana,4,4954,Business Hotel,108,1998,True,True,True,True,False,True,False,False,True,False,False,True,False,False,True,True,0.0,0.0
142,ITC Merchant-Tiwari Delhi,Delhi,Delhi,4,6881,Resort,131,2002,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,1.0,1.0
143,"ITC Raja, Parekh and Rama Chennai",Chennai,Tamil Nadu,4,5247,Resort,236,1990,True,True,True,False,True,False,True,False,True,True,False,False,True,False,True,False,0.0,0.0
144,ITC Jaggi-Deo Ahmedabad,Ahmedabad,Gujarat,3,3272,Hotel,219,2005,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,3.0,0.0
145,Taj Kata-Dube Ahmedabad,Ahmedabad,Gujarat,3,3753,Service Apartment,299,2002,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,3.0,1.0
146,"Grand Nath, Roy and Bath Chennai",Chennai,Tamil Nadu,3,3681,Service Apartment,174,2021,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,7.0,2.0
147,"Leela Murthy, Sunder and Hari Lucknow",Lucknow,Uttar Pradesh,3,3102,Service Apartment,24,1997,True,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,2.0,2.0
148,Leela Sachar-Goda Kochi,Kochi,Kerala,3,3163,Hotel,171,2002,True,True,False,True,True,False,False,False,True,True,False,True,True,False,False,True,1.0,0.0
149,Grand Kaur Ltd Hyderabad,Hyderabad,Telangana,5,6738,Business Hotel,98,1991,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,1.0,0.0
150,ITC Mitra Ltd Jaipur,Jaipur,Rajasthan,4,5074,Hotel,57,2012,True,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,4.0,1.0
151,Taj Sinha-Tak Ahmedabad,Ahmedabad,Gujarat,4,4362,Hotel,92,1997,True,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,4.0,0.0
152,Grand Arya and Sons Mumbai,Mumbai,Maharashtra,3,5189,Service Apartment,256,1994,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0,0.0
