hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Animals Hotel,3.6,,283.0,,,,,,,,Hyderabad,Telangana,"1st floor, Telephone Bhavan Road",,17.4063853,78.4650434,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-772194,info@animalsho.com,https://www.animalshotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Nakshrata Inn,3.4,,157.0,,,,,,,,Hyderabad,Telangana,,,17.3679549,78.5399627,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-961196,info@hotelnaks.com,https://www.hotelnakshrata.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Meredian Orchid,3.5,,392.0,,,,,,,,Hyderabad,Telangana,,,17.4026776,78.4611445,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-474096,info@merediano.com,https://www.meredianorchid.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Oyo Hotel Rainbow Saphire,3.4,,171.0,,,,,,,,Hyderabad,Telangana,,,17.4025597,78.4624669,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-777670,info@oyohotel.com,https://www.oyohotelrainb.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Alekhya Residency,3.9,,399.0,,,,,,,,Hyderabad,Telangana,,,17.4065018,78.4651073,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-112271,info@hotelalek.com,https://www.hotelalekhyar.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Park Continental Hotel,3.9,,60.0,,,,,,,,Hyderabad,Telangana,,,17.3992892,78.4487276,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-341090,info@parkconti.com,https://www.parkcontinenta.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sri Venkateshwara Hotel,4.2,,159.0,,,,,,,,Hyderabad,Telangana,,,17.4047646,78.4645005,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-335219,info@srivenkat.com,https://www.srivenkateshwa.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO 18968 Lorgan Residency,3.7,,238.0,,,,,,,,Hyderabad,Telangana,,,17.3933429,78.4714261,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-700568,info@oyo18968.com,https://www.oyo18968lorga.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Gandhi Bhavan Hotel,4.1,,110.0,,,,,,,,Hyderabad,Telangana,,,17.3791827,78.4747354,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-523355,info@gandhibha.com,https://www.gandhibhavanh.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Jewel Residency Lodge,3.7,,497.0,,,,,,,,Hyderabad,Telangana,,,17.3802824,78.4752348,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-162199,info@jewelresi.com,https://www.jewelresidency.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Oyo Town House,3.8,,246.0,,,,,,,,Hyderabad,Telangana,,,17.4028242,78.4630434,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-705352,info@oyotownh.com,https://www.oyotownhouse.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO 7707 Corp,3.7,,353.0,,,,,,,,Hyderabad,Telangana,,,17.4416045,78.3903299,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-799450,info@oyo7707c.com,https://www.oyo7707corp.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Royal Rev Hotel,3.6,,318.0,,,,,,,,Hyderabad,Telangana,,,17.4412733,78.5004222,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-763622,info@royalrev.com,https://www.royalrevhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Grandeur,4.5,,410.0,,,,,,,,Hyderabad,Telangana,,,17.432476,78.445994,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-400591,info@hotelgran.com,https://www.hotelgrandeur.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Jethani And Sons,3.5,,403.0,,,,,,,,Hyderabad,Telangana,,,17.4251608,78.5181431,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-582419,info@jethanian.com,https://www.jethaniandson.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
TSRTC Officers Guest House,3.8,,184.0,,,,,,,,Hyderabad,Telangana,"Street No 4, Hyderguda",,17.4003323,78.4831415,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-171465,info@tsrtcoffi.com,https://www.tsrtcofficers.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
TSRTC Guest House,4.1,,190.0,,,,,,,,Hyderabad,Telangana,"Street No 4, Hyderguda",,17.4003201,78.4831368,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-171124,info@tsrtcgues.com,https://www.tsrtcguesthou.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
trend Hotels treebo Fort Club,3.7,,411.0,,,,,,,,Hyderabad,Telangana,,,17.3704572,78.4243723,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,9.19E+11,corporatereservations@treebohotels.com,https://treebohotels.com/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Saptagiri,4.1,,144.0,,,,,,,,Hyderabad,Telangana,,,17.4380623,78.5001289,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-554683,info@saptagiri.com,https://www.saptagiri.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Spot On,3.6,,99.0,,,,,,,,Hyderabad,Telangana,,,17.4386388,78.5005838,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-321904,info@spoton.com,https://www.spoton.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO The City Park,4.0,,449.0,,,,,,,,Hyderabad,Telangana,,,17.3917113,78.47438,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-701988,info@oyotheci.com,https://www.oyothecitypa.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Patnam Narender Reddy MLA,3.7,,360.0,,,,,,,,Hyderabad,Telangana,"43, Film Nagar Road no 7",,17.4126952,78.4172014,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-941808,info@patnamnar.com,https://www.patnamnarender.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
srilakshmi carry point,4.1,,208.0,,,,,,,,Hyderabad,Telangana,"ou colony road, Hyderabad",,17.4079586,78.3931031,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-135141,info@srilakshmi.com,https://www.srilakshmicarr.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Cosy Homes,4.1,,204.0,,,,,,,,Hyderabad,Telangana,,,17.4365951,78.3951759,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-891613,info@cosyhomes.com,https://www.cosyhomes.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Devi Homes,3.6,,291.0,,,,,,,,Hyderabad,Telangana,,,17.4408229,78.3879918,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-462173,info@devihomes.com,https://www.devihomes.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Treebo Hitec City,3.9,,117.0,,,,,,,,Hyderabad,Telangana,,,17.4381049,78.3889895,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-721792,info@treebohit.com,https://www.treebohitecci.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO 1117 near Jubilee Hills,4.0,,23.0,,,,,,,,Hyderabad,Telangana,,,17.43401,78.3928138,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-385227,info@oyo1117n.com,https://www.oyo1117nearj.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
MEIL HOUSE 44,3.8,,402.0,,,,,,,,Hyderabad,Telangana,,,17.4331709,78.4018836,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-729898,info@meilhouse.com,https://www.meilhouse44.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Morning Dew,3.4,,360.0,,,,,,,,Hyderabad,Telangana,,,17.4404283,78.3934664,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-924459,info@morningde.com,https://www.morningdew.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Supreme Parkview,3.5,,460.0,,,,,,,,Hyderabad,Telangana,,,17.4416093,78.3903002,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-442866,info@hotelsupr.com,https://www.hotelsupremep.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Treebo Tryst Metropolis Hyderabad,3.3,,77.0,3.0,,,,,,,Hyderabad,Telangana,,,17.438784,78.4998985,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-973634,info@treebotry.com,https://www.treebotrystme.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
ITC Kohenur,3.3,,394.0,,,,,,,,Hyderabad,Telangana,,,17.432179,78.3849981,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-808777,info@itckohenu.com,https://www.itckohenur.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Lake View Guest House,3.6,,167.0,,,,,,,,Hyderabad,Telangana,,,17.4168732,78.4591225,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-679398,info@lakeview.com,https://www.lakeviewguest.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
House,3.6,,465.0,,,,,,,,Hyderabad,Telangana,,,17.4386325,78.4473815,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-620067,info@house.com,https://www.house.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Marriot Executive Apartments,3.9,,55.0,,,,,,,,Hyderabad,Telangana,,,17.4524815,78.3631704,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,-659487,info@marriotex.com,https://www.marriotexecuti.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
OYO Townhouse,3.5,,181.0,,,,,,,,Hyderabad,Telangana,"Hyderabad, Medchal Malkajgiri",,17.4691086,78.4272833,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-992903,info@oyotownho.com,https://www.oyotownhouse.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Siddhartha,3.9,,303.0,,,,,,,,Hyderabad,Telangana,,,17.3858176,78.4786033,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-435659,info@hotelsidd.com,https://www.hotelsiddharth.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
tech mahindra,3.5,,146.0,,,,,,,,Hyderabad,Telangana,,,17.4528018,78.3736652,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-229818,info@techmahin.com,https://www.techmahindra.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
sri sai womens hostel,3.3,,410.0,,,,,,,,Hyderabad,Telangana,,,17.4882482,78.3963055,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-690529,info@srisaiwo.com,https://www.srisaiwomens.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
feel home hostel for womens,3.7,,323.0,,,,,,,,Hyderabad,Telangana,,,17.4910076,78.3999625,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-220873,info@feelhome.com,https://www.feelhomehoste.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
oyo hotel,3.3,,402.0,,,,,,,,Hyderabad,Telangana,,,17.4843184,78.3992101,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-240941,info@oyohotel.com,https://www.oyohotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Rajadhani Hotel,3.6,,241.0,,,,,,,,Hyderabad,Telangana,"Autonagar, vanasthalipuram,hyderabad",,17.3364968,78.5796796,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-541826,info@rajadhani.com,https://www.rajadhanihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Taste of village,4.2,,215.0,,,,,,,,Hyderabad,Telangana,,,17.3396765,78.3667514,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-781454,info@tasteofv.com,https://www.tasteofvillag.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
sankranthi,3.6,,425.0,,,,,,,,Hyderabad,Telangana,,,17.4970879,78.3619851,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-262314,info@sankranthi.com,https://www.sankranthi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
oyo-hotel,4.0,,74.0,,,,,,,,Hyderabad,Telangana,,,17.4829067,78.3929238,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-437239,info@oyohotel.com,https://www.oyohotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO Flagship,4.0,,169.0,,,,,,,,Hyderabad,Telangana,,,17.392179,78.4372621,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-542315,info@oyoflagsh.com,https://www.oyoflagship.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Time to time my cafe,4.2,,242.0,,,,,,,,Hyderabad,Telangana,,,17.394889,78.4353477,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-485784,info@timetoti.com,https://www.timetotimemy.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Pallavi hotel,3.3,,75.0,,,,,,,,Hyderabad,Telangana,,,17.3944984,78.4392655,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-284079,info@pallaviho.com,https://www.pallavihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Swathi tiffins,3.7,,94.0,,,,,,,,Hyderabad,Telangana,,,17.3943045,78.4404687,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-457368,info@swathitif.com,https://www.swathitiffins.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Apoorva mess,4.0,,477.0,,,,,,,,Hyderabad,Telangana,,,17.3946565,78.437719,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-729303,info@apoorvame.com,https://www.apoorvamess.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Gayathri Hotel,4.0,,453.0,,,,,,,,Hyderabad,Telangana,,,17.4013223,78.5624786,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-292918,info@gayathrih.com,https://www.gayathrihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Dibbarotti,4.0,,125.0,,,,,,,,Hyderabad,Telangana,"OU. Colony, Dargha Road, Shaikpet, Hyderabad",,17.4093603,78.3946139,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-306991,info@dibbarotti.com,https://www.dibbarotti.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
RS Grand,4.6,,339.0,,,,,,,,Hyderabad,Telangana,,,17.4970711,78.3608414,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-972418,info@rsgrand.com,https://www.rsgrand.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Masthana hotel,4.1,,147.0,,,,,,,,Hyderabad,Telangana,"Sikh Village Road, secunderabad",,17.4567421,78.4900777,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-915909,info@masthanah.com,https://www.masthanahotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Tiffens center,4.2,,21.0,,,,,,,,Hyderabad,Telangana,"Sanathnagar, Hyderabad",,17.4494832,78.4466095,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-377481,info@tiffensce.com,https://www.tiffenscenter.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Tiffen center,3.8,,46.0,,,,,,,,Hyderabad,Telangana,"Sanathnagar, Hyderabad",,17.449447,78.4463215,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-801184,info@tiffencen.com,https://www.tiffencenter.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Madhusudhan Reddy Hotel,3.8,,119.0,,,,,,,,Hyderabad,Telangana,"Inner Ring Road, Hyderabad",,17.4053075,78.5579815,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-161547,info@madhusudha.com,https://www.madhusudhanred.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Club View,4.1,,42.0,,,,,,,,Hyderabad,Telangana,,,17.4540351,78.4988165,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-542507,info@clubview.com,https://www.clubview.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Red Rose Palace,4.2,,458.0,,,,,,,,Hyderabad,Telangana," 5-9-113, Chapel Road, Bagher Complex, Fateh Maidan, Nampally, Hyderabad, Telangana 500001",,17.3956223,78.4715958,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,9.18E+11,info@redrosep.com,https://m.weddingz.in/hyderabad/red-rose-palace-nampally/,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
TS GENCO Guest House,4.1,,182.0,,,,,,,,Hyderabad,Telangana,,,17.4450166,78.4264503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-314556,info@tsgencog.com,https://www.tsgencoguest.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
NGRI Guest house,4.0,,498.0,,,,,,,,Hyderabad,Telangana,,,17.4131651,78.5507263,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-795544,info@ngriguest.com,https://www.ngriguesthous.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Pista House,3.8,,333.0,,,,,,,,Hyderabad,Telangana,,,17.4059506,78.5558757,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-703753,info@pistahous.com,https://www.pistahouse.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Central Government Touring Officers Guest House,3.7,,338.0,,,,,,,,Hyderabad,Telangana,,,17.4266783,78.5022686,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-292016,info@centralgo.com,https://www.centralgovernm.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Tasty Tiffens,3.5,,430.0,,,,,,,,Hyderabad,Telangana,,,17.3500982,78.4732277,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-259414,info@tastytiff.com,https://www.tastytiffens.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Imran Hotel,3.7,,287.0,,,,,,,,Hyderabad,Telangana,"Gajularamaram Road, Hyderabad",,17.516611,78.4376166,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-275765,info@imranhote.com,https://www.imranhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sohail Hotel,3.3,,395.0,,,,,,,,Hyderabad,Telangana,"Gajularamaram Road, Hyderabad",,17.516983,78.4370421,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-966901,info@sohailhot.com,https://www.sohailhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sana Bawarchi,3.9,,266.0,,,,,,,,Hyderabad,Telangana,"Jeedimetla Main Road, Hyderabad",,17.5150668,78.4469297,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-448027,info@sanabawar.com,https://www.sanabawarchi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Sri Rghavendra udipi veg,3.8,,468.0,,,,,,,,Hyderabad,Telangana,,,17.3327036,78.5889126,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-603959,info@hotelsri.com,https://www.hotelsrirghav.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Taaza Bhojanam,3.5,,435.0,,,,,,,,Hyderabad,Telangana,Hyderabad,,17.3319068,78.5902619,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-193073,info@taazabhoj.com,https://www.taazabhojanam.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Armour bhavan,4.1,,71.0,,,,,,,,Hyderabad,Telangana,,,17.4730656,78.4758318,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-496589,info@armourbha.com,https://www.armourbhavan.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Oyo 72504 Dunes inn,3.3,,181.0,,,,,,,,Hyderabad,Telangana,,,17.4605321,78.3542333,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-386453,info@oyo72504.com,https://www.oyo72504dunes.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Raju Gari Vantillu,3.9,,345.0,,,,,,,,Hyderabad,Telangana,,,17.4473882,78.3919999,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-349255,info@rajugari.com,https://www.rajugarivanti.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Abhi tiffins,3.2,,204.0,,,,,,,,Hyderabad,Telangana,,,17.4921401,78.4088075,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-800014,info@abhitiffi.com,https://www.abhitiffins.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Athidhi Inn,3.7,,258.0,,,,,,,,Hyderabad,Telangana,"DharamKaran Road, Hyderabad",,17.4352806,78.4504956,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-539409,info@athidhiin.com,https://www.athidhiinn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Madhura Tiffins,3.5,,357.0,,,,,,,,Hyderabad,Telangana,"Yashoda hospital Road, Hyderabad",,17.424558,78.4548908,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-857912,info@hotelmadh.com,https://www.hotelmadhurat.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Pummy Lodge,4.2,,266.0,,,,,,,,Hyderabad,Telangana,"Punjagutta Junction, Hyderabad",,17.4258957,78.4531897,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-593473,info@pummylodg.com,https://www.pummylodge.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel A-1 Biryani,3.7,,394.0,,,,,,,,Hyderabad,Telangana,"Yashoda Hospital Road, Hyderabad",,17.4245763,78.4542203,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-671978,info@hotela1.com,https://www.hotela1birya.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Agra Sweets and Tiffins,4.1,,379.0,,,,,,,,Hyderabad,Telangana,"Yashoda Hospital Road, Hyderabad",,17.4245522,78.4540853,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-432597,info@hotelagra.com,https://www.hotelagraswee.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Meridian Restuarant,3.6,,52.0,,,,,,,,Hyderabad,Telangana,"Punjagutta Junction, Hyderabad",,17.4274254,78.4522893,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-244944,info@meridianr.com,https://www.meridianrestua.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Kakatiya Mess,3.8,,232.0,,,,,,,,Hyderabad,Telangana,,,17.4335498,78.4468549,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-339086,info@kakatiyam.com,https://www.kakatiyamess.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Gokul Grand,4.6,,337.0,,,,,,,,Hyderabad,Telangana,,,17.4409017,78.4487314,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-837434,info@hotelgoku.com,https://www.hotelgokulgra.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Ram-Ki-Bandi TIffins,3.5,,424.0,,,,,,,,Hyderabad,Telangana,"Ameerpet-FatehNagar Road, Hyderabad",,17.4407917,78.4484446,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-568929,info@ramkiban.com,https://www.ramkibanditi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Raghavendra Hotel,3.5,,203.0,,,,,,,,Hyderabad,Telangana,,,17.3397315,78.5649814,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-741624,info@raghavendr.com,https://www.raghavendrahot.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Jagavi's Kritunga Restuarant,3.3,,366.0,,,,,,,,Hyderabad,Telangana,"Panjagutta Road, Hyderabad",,17.4238231,78.4536295,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-380268,info@jagavisk.com,https://www.jagaviskritun.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Harsha Mess,4.1,,111.0,,,,,,,,Hyderabad,Telangana,"Sanjeeva Reddy Nagar Main Road, Hyderabad",,17.4384028,78.4428706,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-931311,info@hotelhars.com,https://www.hotelharshame.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Oyo Townhouse Ameerpet,4.0,,388.0,,,,,,,,Hyderabad,Telangana,"Sanjeeva Reddy Nagar Main Road, Hyderabad",,17.4388665,78.4418022,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-930881,info@oyotownho.com,https://www.oyotownhousea.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sri Raghavendra Tiffins,3.4,,355.0,,,,,,,,Hyderabad,Telangana,"Sanjeeva Reddy Nagar Main Road, Hyderabad",,17.4385284,78.4419527,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-975763,info@sriraghav.com,https://www.sriraghavendra.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Lemon Tree,4.2,,256.0,,,,,,,,Hyderabad,Telangana,,,17.4428902,78.3766998,Air Conditioning,Budget,-825888,info@lemontree.com,https://www.lemontree.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
